262144    .0144606667 .0000000728 .0002698147 .0001557775 -135.973907 -135.973939 0.000032 0.000023         
524288    .0159223334 .0000070418 .0026536390 .0015320791 -1127.945679 -1127.945749 0.000070 0.000006         
786432    .0157663334 .0000044859 .0021179943 .0012228245 247.317993 247.317899 0.000094 0.000038         
1048576    .0151810000 .0000000402 .0002004993 .0001157583 1211.231567 1211.231582 0.000015 0.000001         
1310720    .0177950000 .0000039974 .0019993498 .0011543251 1976.572510 1976.572489 0.000021 0.000001         
1572864    .0172393334 .0000000978 .0003127299 .0001805546 1777.127197 1777.127315 0.000117 0.000007         
1835008    .0229133334 .0000002043 .0004519955 .0002609597 1268.639648 1268.639592 0.000057 0.000004         
2097152    .0250623333 .0000002632 .0005130302 .0002961981 1664.723999 1664.723923 0.000076 0.000005         
2359296    .0264596667 .0000001352 .0003676955 .0002122890 1649.345093 1649.344842 0.000251 0.000015         
2621440    .0277633334 .0000000517 .0002273763 .0001312757 1990.718872 1990.718587 0.000286 0.000014         
2883584    .0292106667 .0000000974 .0003120897 .0001801850 2107.054688 2107.054436 0.000251 0.000012         
3145728    .0317993334 .0000040411 .0020102487 .0011606176 2151.013672 2151.013588 0.000084 0.000004         
3407872    .0321750000 .0000001051 .0003241913 .0001871719 2468.508301 2468.508333 0.000032 0.000001         
3670016    .0331903333 .0000000167 .0001292284 .0000746100 2441.335693 2441.335671 0.000022 0.000001         
3932160    .0354856667 .0000029780 .0017256882 .0009963265 1605.791504 1605.791314 0.000190 0.000012         
4194304    .0358220000 .0000001086 .0003295451 .0001902629 1471.193115 1471.192946 0.000169 0.000011         
4456448    .0377606667 .0000043428 .0020839385 .0012031624 1522.446045 1522.446066 0.000021 0.000001         
4718592    .0380990000 .0000001008 .0003174901 .0001833029 1494.581299 1494.581292 0.000007 0.000000         
4980736    .0394943334 .0000000163 .0001276714 .0000737111 2184.926758 2184.926567 0.000190 0.000009         
5242880    .0410550000 .0000003466 .0005887274 .0003399019 1938.333374 1938.333409 0.000035 0.000002         
5505024    .0424916666 .0000011284 .0010622617 .0006132970 2391.475586 2391.475631 0.000045 0.000002         
5767168    .0430606667 .0000000709 .0002662705 .0001537313 2219.474609 2219.474457 0.000152 0.000007         
6029312    .0441920000 .0000000645 .0002539685 .0001466287 2054.803711 2054.803967 0.000256 0.000012         
6291456    .0456670000 .0000001323 .0003637306 .0002099999 1035.339966 1035.340293 0.000327 0.000032         
6553600    .0470123333 .0000000693 .0002632489 .0001519868 652.863403 652.863744 0.000341 0.000052         
6815744    .0480490000 .0000001699 .0004121892 .0002379775 1063.743774 1063.744301 0.000526 0.000049         
7077888    .0495903333 .0000002218 .0004709564 .0002719068 782.609253 782.609636 0.000383 0.000049         
7340032    .0507740000 .0000006023 .0007760798 .0004480698 -94.425049 -94.424774 0.000275 0.000291         
7602176    .0518870000 .0000000389 .0001972308 .0001138712 1.273926 1.273983 0.000057 0.004456         
7864320    .0531666667 .0000000558 .0002362202 .0001363817 108.235840 108.235799 0.000040 0.000037         
8126464    .0543040000 .0000000573 .0002393741 .0001382027 -124.496094 -124.495723 0.000371 0.000298         
8388608    .0564043333 .0000002508 .0005007993 .0002891366 -314.977173 -314.976766 0.000407 0.000129         
8650752    .0569633334 .0000002823 .0005313191 .0003067572 -1429.838013 -1429.837809 0.000204 0.000014         
8912896    .0577886666 .0000000786 .0002803569 .0001618641 -1434.034302 -1434.034161 0.000140 0.000010         
9175040    .0595470000 .0000006344 .0007964923 .0004598550 -2658.385742 -2658.385719 0.000023 0.000001         
9437184    .0599136666 .0000001050 .0003240370 .0001870828 -2778.555664 -2778.555746 0.000082 0.000003         
9699328    .0613043334 .0000000418 .0002044504 .0001180394 -2978.588623 -2978.588477 0.000146 0.000005         
9961472    .0625683334 .0000000759 .0002754995 .0001590597 -3416.985840 -3416.985416 0.000424 0.000012         
10223616    .0639976667 .0000000146 .0001208304 .0000697614 -3504.782227 -3504.781597 0.000630 0.000018         
10485760    .0648766666 .0000000056 .0000748331 .0000432049 -2558.982666 -2558.981990 0.000676 0.000026         
10747904    .0661856666 .0000000637 .0002523885 .0001457165 -2035.037354 -2035.036821 0.000533 0.000026         
11010048    .0676926667 .0000000210 .0001449137 .0000836659 -1768.792969 -1768.792766 0.000202 0.000011         
11272192    .0685663334 .0000002064 .0004543126 .0002622975 -759.096130 -759.095873 0.000257 0.000034         
11534336    .0699073333 .0000000947 .0003077336 .0001776700 -1362.844971 -1362.844707 0.000263 0.000019         
11796480    .0709203333 .0000000273 .0001652271 .0000953939 -1528.552002 -1528.551996 0.000006 0.000000         
12058624    .0722483334 .0000000155 .0001244989 .0000718794 -1101.908447 -1101.908522 0.000074 0.000007         
12320768    .0749090000 .0000019242 .0013871553 .0008008744 -1002.625488 -1002.625757 0.000268 0.000027         
12582912    .0758573333 .0000036526 .0019111776 .0011034189 -773.805542 -773.805816 0.000274 0.000035         
12845056    .0768316666 .0000006686 .0008176796 .0004720875 -312.193634 -312.193596 0.000038 0.000012         
