#timestep       power           acc-energy      avg-power       dt              acc-time       
1               53.258000       0.540675        53.258000       0.010152        0.010152       
2               53.258000       1.138390        53.258000       0.011223        0.021375       
3               52.744000       1.690197        53.089094       0.010462        0.031837       
4               52.744000       2.270223        53.000496       0.010997        0.042834       
5               52.744000       2.874828        52.946345       0.011463        0.054297       
6               52.744000       3.422943        52.913840       0.010392        0.064689       
7               52.744000       4.005079        52.889086       0.011037        0.075726       
8               52.744000       4.558258        52.871436       0.010488        0.086214       
9               52.744000       5.139655        52.856989       0.011023        0.097237       
10              111.363000      6.297162        58.506955       0.010394        0.107631       
11              111.363000      7.528280        63.430228       0.011055        0.118686       
12              168.566000      9.286255        71.922355       0.010429        0.129115       
13              168.566000      11.155820       79.567354       0.011091        0.140206       
14              179.035000      13.047504       86.537979       0.010566        0.150772       
15              179.035000      15.044282       92.908949       0.011153        0.161925       
16              180.462000      16.935523       98.231045       0.010480        0.172405       
17              182.366000      18.964345       103.331036      0.011125        0.183530       
18              182.366000      21.017421       107.898954      0.011258        0.194788       
19              183.317000      22.952699       111.776274      0.010557        0.205345       
20              183.317000      24.992651       115.453893      0.011128        0.216473       
21              184.621000      26.923048       118.640843      0.010456        0.226929       
22              184.621000      28.963848       121.705535      0.011054        0.237983       
23              183.793000      30.887242       124.320752      0.010465        0.248448       
24              183.793000      32.938004       126.876900      0.011158        0.259606       
25              183.793000      34.878491       129.101179      0.010558        0.270164       
26              183.793000      36.932929       131.274140      0.011178        0.281342       
27              183.793000      38.874702       133.174957      0.010565        0.291907       
28              184.269000      40.929486       135.054959      0.011151        0.303058       
29              184.269000      43.136476       136.925978      0.011977        0.315035       
30              183.793000      45.079903       138.447963      0.010574        0.325609       
31              183.793000      47.132319       139.951538      0.011167        0.336776       
32              184.745000      49.075098       141.307884      0.010516        0.347292       
33              184.745000      51.115976       142.646978      0.011047        0.358339       
34              184.393000      53.043436       143.830223      0.010453        0.368792       
35              184.393000      55.098311       145.019980      0.011144        0.379936       
36              184.393000      57.044948       146.084432      0.010557        0.390493       
37              184.393000      59.115313       147.155147      0.011228        0.401721       
38              185.221000      61.065690       148.127451      0.010530        0.412251       
39              185.221000      63.114419       149.096693      0.011061        0.423312       
40              185.221000      65.309844       150.080645      0.011853        0.435165       
41              185.821000      67.247957       150.917216      0.010430        0.445595       
42              185.821000      69.303137       151.762572      0.011060        0.456655       
43              184.869000      71.238716       152.504609      0.010470        0.467125       
44              184.869000      73.278375       153.251384      0.011033        0.478158       
45              185.697000      75.218537       153.945178      0.010448        0.488606       
46              185.697000      77.271232       154.647625      0.011054        0.499660       
47              185.221000      79.207347       155.274120      0.010453        0.510113       
48              185.221000      81.261078       155.911208      0.011088        0.521201       
49              185.221000      83.207936       156.490611      0.010511        0.531712       
50              185.221000      85.254257       157.075424      0.011048        0.542760       
51              185.345000      87.193151       157.609981      0.010461        0.553221       
52              185.345000      89.259933       158.157976      0.011151        0.564372       
53              185.345000      91.330793       158.685755      0.011173        0.575545       
54              184.745000      93.259900       159.150118      0.010442        0.585987       
55              184.745000      95.300594       159.623662      0.011046        0.597033       
56              185.221000      97.239857       160.064819      0.010470        0.607503       
57              185.221000      99.314888       160.520325      0.011203        0.618706       
58              184.745000      101.261916      160.926056      0.010539        0.629245       
59              184.745000      103.313509      161.339126      0.011105        0.640350       
60              185.821000      105.253666      161.731902      0.010441        0.650791       
61              185.821000      107.306245      162.133947      0.011046        0.661837       
62              185.345000      109.245139      162.495112      0.010461        0.672298       
63              184.869000      111.293487      162.857873      0.011080        0.683378       
64              184.869000      113.620064      163.255897      0.012585        0.695963       
65              183.917000      115.565722      163.565254      0.010579        0.706542       
66              183.917000      117.650421      163.886600      0.011335        0.717877       
67              184.869000      119.586924      164.188365      0.010475        0.728352       
68              184.869000      121.643222      164.499438      0.011123        0.739475       
69              185.821000      123.585051      164.796548      0.010450        0.749925       
70              185.821000      125.642647      165.102467      0.011073        0.760998       
71              184.269000      127.588343      165.364767      0.010559        0.771557       
72              184.269000      129.642758      165.634042      0.011149        0.782706       
73              184.869000      131.575194      165.887538      0.010453        0.793159       
74              184.269000      133.629056      166.142267      0.011146        0.804305       
75              184.269000      135.810617      166.405214      0.011839        0.816144       
76              184.393000      137.757807      166.634983      0.010560        0.826704       
77              184.393000      139.818399      166.871826      0.011175        0.837879       
78              184.269000      141.762990      167.088217      0.010553        0.848432       
79              184.269000      143.819247      167.311253      0.011159        0.859591       
80              185.697000      145.776680      167.533983      0.010541        0.870132       
81              185.697000      147.828260      167.761706      0.011048        0.881180       
82              184.745000      149.756998      167.960564      0.010440        0.891620       
83              184.745000      151.797506      168.165938      0.011045        0.902665       
84              185.221000      153.727324      168.360549      0.010419        0.913084       
85              185.221000      155.846993      168.569252      0.011444        0.924528       
86              185.221000      158.067052      168.782369      0.011986        0.936514       
87              184.869000      160.010210      168.960914      0.010511        0.947025       
88              184.869000      162.071869      169.146065      0.011152        0.958177       
89              185.345000      164.019660      169.321803      0.010509        0.968686       
90              185.345000      166.087554      169.504251      0.011157        0.979843       
91              184.869000      168.035519      169.667722      0.010537        0.990380       
92              184.869000      170.094035      169.836732      0.011135        1.001515       
93              185.697000      172.039025      170.000885      0.010474        1.011989       
94              185.697000      174.103233      170.171422      0.011116        1.023105       
95              185.221000      176.038237      170.323541      0.010447        1.033552       
96              184.269000      178.097443      170.472710      0.011175        1.044727       
97              184.269000      180.310514      170.629507      0.012010        1.056737       
