#timestep       power           acc-energy      avg-power       dt              acc-time       
1               59.628000       0.602124        59.628000       0.010098        0.010098       
2               59.628000       1.269003        59.628000       0.011184        0.021282       
3               59.628000       1.917636        59.628000       0.010878        0.032160       
4               69.872000       2.674420        62.208837       0.010831        0.042991       
5               69.872000       3.434418        63.756179       0.010877        0.053868       
6               69.872000       4.191760        64.780634       0.010839        0.064707       
7               69.872000       4.953924        65.515099       0.010908        0.075615       
8               69.872000       5.770588        66.098395       0.011688        0.087303       
9               69.872000       6.530306        66.516322       0.010873        0.098176       
10              69.872000       7.406921        66.896557       0.012546        0.110722       
11              69.872000       8.189627        67.169931       0.011202        0.121924       
12              130.288000      9.658624        72.512736       0.011275        0.133199       
13              130.288000      11.116937       76.991367       0.011193        0.144392       
14              130.288000      12.579941       80.837043       0.011229        0.155621       
15              130.288000      14.170367       84.433867       0.012207        0.167828       
16              130.288000      15.625684       87.295299       0.011170        0.178998       
17              130.288000      17.251157       90.096604       0.012476        0.191474       
18              130.288000      18.723151       92.335978       0.011298        0.202772       
19              130.288000      20.187979       94.329738       0.011243        0.214015       
20              130.288000      21.643296       96.113399       0.011170        0.225185       
21              235.076000      24.286961       102.723249      0.011246        0.236431       
22              235.076000      27.027947       108.943681      0.011660        0.248091       
23              235.076000      29.663619       114.397515      0.011212        0.259303       
24              235.076000      32.383448       119.552145      0.011570        0.270873       
25              235.076000      35.011363       124.130879      0.011179        0.282052       
26              235.076000      37.728606       128.498613      0.011559        0.293611       
27              235.076000      40.377678       132.437935      0.011269        0.304880       
28              235.076000      43.092570       136.184011      0.011549        0.316429       
29              235.076000      46.448750       140.453304      0.014277        0.330706       
30              235.573000      49.140879       143.630504      0.011428        0.342134       
31              235.573000      51.850439       146.620930      0.011502        0.353636       
32              235.573000      54.486501       149.349282      0.011190        0.364826       
33              235.573000      57.211845       151.999483      0.011569        0.376395       
34              235.573000      61.003393       155.426616      0.016095        0.392490       
35              235.573000      63.656416       157.662168      0.011262        0.403752       
36              235.573000      66.293656       159.764152      0.011195        0.414947       
37              235.573000      68.939611       161.762103      0.011232        0.426179       
38              235.535000      71.588203       163.658607      0.011245        0.437424       
39              235.535000      74.951171       165.930572      0.014278        0.451702       
40              235.535000      77.636506       167.644144      0.011401        0.463103       
41              235.535000      80.350811       169.292542      0.011524        0.474627       
42              235.535000      83.012828       170.833245      0.011302        0.485929       
43              235.535000      85.740559       172.339367      0.011581        0.497510       
44              235.535000      89.267695       174.185967      0.014975        0.512485       
45              235.535000      91.963864       175.526336      0.011447        0.523932       
46              235.535000      94.685000       176.821013      0.011553        0.535485       
47              235.559000      97.320434       178.023122      0.011188        0.546673       
48              235.559000      100.043025      179.214385      0.011558        0.558231       
49              235.559000      103.535894      180.672311      0.014828        0.573059       
50              235.559000      106.229982      181.746295      0.011437        0.584496       
51              235.559000      115.420317      185.113521      0.039015        0.623511       
52              236.085000      120.591050      186.843231      0.021902        0.645413       
53              236.085000      128.362733      189.232901      0.032919        0.678332       
54              236.085000      131.006412      189.993782      0.011198        0.689530       
55              236.085000      133.642537      190.728272      0.011166        0.700696       
56              236.085000      137.391095      191.733296      0.015878        0.716574       
57              236.085000      140.058856      192.421842      0.011300        0.727874       
58              234.694000      142.749622      193.077360      0.011465        0.739339       
59              234.694000      146.948063      194.060525      0.017889        0.757228       
60              234.694000      149.612779      194.660790      0.011354        0.768582       
61              234.694000      152.318331      195.252376      0.011528        0.780110       
62              234.694000      162.953725      197.417727      0.045316        0.825426       
63              234.280000      168.195974      198.390631      0.022376        0.847802       
64              234.280000      177.084323      199.927883      0.037939        0.885741       
65              234.280000      180.201184      200.436223      0.013304        0.899045       
66              234.280000      182.816217      200.851254      0.011162        0.910207       
67              234.280000      185.451399      201.259311      0.011248        0.921455       
68              234.280000      188.069244      201.654938      0.011174        0.932629       
69              228.510000      190.645237      201.975668      0.011273        0.943902       
70              228.510000      193.210947      202.287591      0.011228        0.955130       
71              228.510000      195.782142      202.592910      0.011252        0.966382       
72              228.510000      198.660911      202.926424      0.012598        0.978980       
73              228.510000      201.231648      203.217079      0.011250        0.990230       
74              228.510000      203.807413      203.501753      0.011272        1.001502       
75              228.510000      206.711546      203.815130      0.012709        1.014211       
76              228.510000      209.286168      204.086454      0.011267        1.025478       
77              228.510000      211.846166      204.350389      0.011203        1.036681       
78              230.880000      214.450031      204.635898      0.011278        1.047959       
79              230.880000      217.103535      204.920595      0.011493        1.059452       
80              230.880000      219.688929      205.192106      0.011198        1.070650       
81              230.880000      222.278941      205.458467      0.011218        1.081868       
82              230.880000      225.112531      205.743621      0.012273        1.094141       
83              230.880000      227.708315      205.999286      0.011243        1.105384       
84              230.880000      230.294171      206.248854      0.011200        1.116584       
85              230.880000      232.892263      206.494612      0.011253        1.127837       
86              230.880000      235.615724      206.747017      0.011796        1.139633       
87              233.522000      238.229068      207.007386      0.011191        1.150824       
88              233.522000      240.854323      207.263893      0.011242        1.162066       
89              233.522000      243.746960      207.540838      0.012387        1.174453       
90              233.522000      246.377118      207.787631      0.011263        1.185716       
91              233.522000      249.193393      208.046741      0.012060        1.197776       
92              233.522000      251.826588      208.284331      0.011276        1.209052       
93              233.522000      254.451842      208.516834      0.011242        1.220294       
94              233.522000      257.051876      208.742919      0.011134        1.231428       
95              233.522000      259.661718      208.965783      0.011176        1.242604       
96              234.229000      262.547419      209.213800      0.012320        1.254924       
97              234.229000      265.180387      209.435885      0.011241        1.266165       
98              234.229000      267.801644      209.653099      0.011191        1.277356       
99              234.229000      270.432504      209.867315      0.011232        1.288588       
100             234.229000      273.306494      210.097100      0.012270        1.300858       
101             234.229000      275.932201      210.303278      0.011210        1.312068       
102             234.229000      278.568448      210.506768      0.011255        1.323323       
103             234.229000      281.290892      210.713311      0.011623        1.334946       
104             234.239000      283.926081      210.909913      0.011250        1.346196       
105             234.239000      286.544404      211.102028      0.011178        1.357374       
106             234.239000      289.178656      211.292145      0.011246        1.368620       
107             234.239000      291.918315      211.486584      0.011696        1.380316       
108             234.239000      294.574820      211.672000      0.011341        1.391657       
109             234.239000      297.213991      211.853237      0.011267        1.402924       
110             234.239000      300.195150      212.054490      0.012727        1.415651       
111             234.239000      302.828465      212.229274      0.011242        1.426893       
112             234.239000      305.439059      212.399852      0.011145        1.438038       
113             234.301000      308.132818      212.573562      0.011497        1.449535       
114             234.301000      310.774796      212.741276      0.011276        1.460811       
115             234.301000      313.397092      212.905200      0.011192        1.472003       
116             234.301000      316.031807      213.067408      0.011245        1.483248       
117             234.301000      319.239154      213.261583      0.013689        1.496937       
118             234.301000      321.880663      213.418854      0.011274        1.508211       
