#timestep       power           acc-energy      avg-power       dt              acc-time       
1               54.179000       0.548833        54.179000       0.010130        0.010130       
2               53.736000       1.148903        53.946715       0.011167        0.021297       
3               53.736000       1.740698        53.874892       0.011013        0.032310       
4               53.736000       2.406594        53.836389       0.012392        0.044702       
5               53.700000       2.969585        53.810478       0.010484        0.055186       
6               53.700000       3.561735        53.792080       0.011027        0.066213       
7               53.700000       4.120591        53.779573       0.010407        0.076620       
8               53.700000       4.713976        53.769543       0.011050        0.087670       
9               53.736000       5.279117        53.765950       0.010517        0.098187       
10              53.736000       5.875318        53.762910       0.011095        0.109282       
11              164.394000      7.591427        63.409321       0.010439        0.119721       
12              164.394000      9.406008        71.933926       0.011038        0.130759       
13              188.900000      11.389458       80.628195       0.010500        0.141259       
14              192.834000      13.537436       88.829487       0.011139        0.152398       
15              192.834000      15.877670       96.500842       0.012136        0.164534       
16              194.607000      17.925130       102.397131      0.010521        0.175055       
17              194.607000      20.085268       107.895396      0.011100        0.186155       
18              196.033000      22.132048       112.576289      0.010441        0.196596       
19              196.033000      24.316248       117.052478      0.011142        0.207738       
20              194.607000      26.362930       120.789579      0.010517        0.218255       
21              194.607000      28.530268       124.373421      0.011137        0.229392       
22              196.033000      30.657030       127.609483      0.010849        0.240241       
23              196.033000      32.822998       130.618005      0.011049        0.251290       
24              196.641000      34.867671       133.241385      0.010398        0.261688       
25              196.165000      37.032156       135.787198      0.011034        0.272722       
26              196.165000      39.391825       138.337793      0.012029        0.284751       
27              195.213000      41.446442       140.365088      0.010525        0.295276       
28              195.213000      43.698614       142.427518      0.011537        0.306813       
29              195.901000      45.745584       144.188663      0.010449        0.317262       
30              195.901000      47.906372       145.926101      0.011030        0.328292       
31              196.509000      49.950262       147.479463      0.010401        0.338693       
32              196.509000      52.126992       149.032198      0.011077        0.349770       
33              196.033000      54.189455       150.404687      0.010521        0.360291       
34              196.033000      56.372283       151.772581      0.011135        0.371426       
35              195.689000      58.430344       152.981842      0.010517        0.381943       
36              196.165000      60.608168       154.201599      0.011102        0.393045       
37              196.165000      62.974506       155.451154      0.012063        0.405108       
38              196.033000      65.018150       156.469282      0.010425        0.415533       
39              196.033000      67.196469       157.499722      0.011112        0.426645       
40              196.509000      69.249595       158.432175      0.010448        0.437093       
41              196.509000      71.415910       159.368893      0.011024        0.448117       
42              196.641000      73.466876       160.216675      0.010430        0.458547       
43              196.641000      75.666502       161.084067      0.011186        0.469733       
44              196.165000      77.731531       161.853019      0.010527        0.480260       
45              196.165000      79.920928       162.632302      0.011161        0.491421       
46              195.558000      81.978003       163.322315      0.010519        0.501940       
47              196.165000      84.162300       164.035083      0.011135        0.513075       
48              196.165000      86.551001       164.779956      0.012177        0.525252       
49              196.033000      88.615425       165.394245      0.010531        0.535783       
50              196.033000      90.797076       166.017707      0.011129        0.546912       
51              195.082000      92.845437       166.565193      0.010500        0.557412       
52              195.082000      95.021772       167.124727      0.011156        0.568568       
53              196.641000      97.083160       167.659083      0.010483        0.579051       
54              196.641000      99.251127       168.200582      0.011025        0.590076       
55              196.509000      101.302877      168.692772      0.010441        0.600517       
56              196.509000      103.483538      169.197464      0.011097        0.611614       
57              196.984000      105.550885      169.666223      0.010495        0.622109       
58              196.984000      107.726770      170.142808      0.011046        0.633155       
59              196.984000      110.195373      170.663763      0.012532        0.645687       
60              196.852000      112.242437      171.078848      0.010399        0.656086       
61              196.852000      114.416865      171.505586      0.011046        0.667132       
62              196.033000      116.477955      171.886140      0.010514        0.677646       
63              196.033000      118.658234      172.276056      0.011122        0.688768       
64              196.376000      120.722735      172.638375      0.010513        0.699281       
65              196.376000      122.902116      173.009219      0.011098        0.710379       
66              196.852000      124.950558      173.353438      0.010406        0.720785       
67              196.852000      127.120851      173.707453      0.011025        0.731810       
68              196.984000      129.187608      174.036454      0.010492        0.742302       
69              196.984000      131.355416      174.371692      0.011005        0.753307       
70              196.509000      133.408936      174.674583      0.010450        0.763757       
71              196.033000      135.589411      174.981172      0.011123        0.774880       
72              196.033000      137.770474      175.279163      0.011126        0.786006       
73              196.509000      139.833818      175.559027      0.010500        0.796506       
74              196.509000      142.005439      175.845716      0.011051        0.807557       
75              196.509000      144.056207      176.109340      0.010436        0.817993       
76              196.509000      146.246496      176.383570      0.011146        0.829139       
77              196.509000      148.312199      176.635530      0.010512        0.839651       
78              196.509000      150.494628      176.894963      0.011106        0.850757       
79              196.509000      152.545592      177.132670      0.010437        0.861194       
80              196.509000      154.734506      177.380090      0.011139        0.872333       
81              195.689000      156.793937      177.598340      0.010524        0.882857       
82              196.509000      158.982654      177.833941      0.011138        0.893995       
83              196.509000      161.362771      178.083572      0.012112        0.906107       
84              195.558000      163.419455      178.284067      0.010517        0.916624       
85              195.558000      165.596407      178.491335      0.011132        0.927756       
86              196.509000      167.660144      178.693008      0.010502        0.938258       
87              196.509000      169.841591      178.901333      0.011101        0.949359       
88              196.641000      171.885870      179.093488      0.010396        0.959755       
89              196.641000      174.065046      179.293791      0.011082        0.970837       
90              196.165000      176.127329      179.474529      0.010513        0.981350       
91              196.165000      178.317511      179.662283      0.011165        0.992515       
92              196.984000      180.384070      179.843461      0.010491        1.003006       
93              197.117000      182.554131      180.030997      0.011009        1.014015       
94              197.117000      184.993454      180.236999      0.012375        1.026390       
95              196.509000      187.052475      180.401435      0.010478        1.036868       
96              196.509000      189.222524      180.571178      0.011043        1.047911       
97              196.641000      191.285485      180.730464      0.010491        1.058402       
98              196.641000      193.474296      180.896051      0.011131        1.069533       
99              196.641000      195.540403      181.049223      0.010507        1.080040       
