#timestep       power           acc-energy      avg-power       dt              acc-time       
1               83.399000       0.841579        83.399000       0.010091        0.010091       
2               83.399000       1.757384        83.399000       0.010981        0.021072       
3               83.399000       2.664848        83.399000       0.010881        0.031953       
4               83.399000       3.567726        83.399000       0.010826        0.042779       
5               83.399000       4.477109        83.399000       0.010904        0.053683       
6               83.399000       5.381571        83.399000       0.010845        0.064528       
7               83.399000       6.289452        83.399000       0.010886        0.075414       
8               83.399000       7.240785        83.399000       0.011407        0.086821       
9               83.399000       8.145330        83.399000       0.010846        0.097667       
10              85.945000       9.151832        83.671598       0.011711        0.109378       
11              85.945000       10.088375       83.877570       0.010897        0.120275       
12              85.945000       11.029386       84.050071       0.010949        0.131224       
13              85.945000       11.964898       84.195215       0.010885        0.142109       
14              85.945000       12.905824       84.320375       0.010948        0.153057       
15              85.945000       13.847523       84.428909       0.010957        0.164014       
16              85.945000       14.789996       84.523922       0.010966        0.174980       
17              85.945000       15.853737       84.617800       0.012377        0.187357       
18              85.945000       16.789420       84.690686       0.010887        0.198244       
19              231.906000      19.323689       92.381816       0.010928        0.209172       
20              231.906000      21.846363       99.279085       0.010878        0.220050       
21              231.906000      24.381559       105.556100      0.010932        0.230982       
22              231.906000      26.905160       111.240863      0.010882        0.241864       
23              231.906000      29.454271       116.486343      0.010992        0.252856       
24              231.906000      31.991786       121.273802      0.010942        0.263798       
25              231.906000      34.532317       125.684948      0.010955        0.274753       
26              231.906000      37.055686       129.731355      0.010881        0.285634       
27              231.906000      39.590650       133.497379      0.010931        0.296565       
28              232.535000      42.665228       137.724398      0.013222        0.309787       
29              232.535000      45.193349       140.938968      0.010872        0.320659       
30              232.535000      47.733793       143.956866      0.010925        0.331584       
31              232.535000      50.263077       146.770221      0.010877        0.342461       
32              232.535000      52.805614       149.423773      0.010934        0.353395       
33              232.535000      55.702303       152.253651      0.012457        0.365852       
34              232.535000      62.456049       158.158222      0.029044        0.394896       
35              232.693000      65.020559       160.181906      0.011021        0.405917       
36              232.693000      68.250338       162.579384      0.013880        0.419797       
37              232.693000      73.192039       165.955548      0.021237        0.441034       
38              232.693000      75.727229       167.564439      0.010895        0.451929       
39              232.693000      78.254275       169.092773      0.010860        0.462789       
40              232.693000      80.796213       170.559418      0.010924        0.473713       
41              232.693000      83.330008       171.955559      0.010889        0.484602       
42              232.693000      85.873342       173.295250      0.010930        0.495532       
43              232.693000      88.413186       174.575397      0.010915        0.506447       
44              224.675000      90.867536       175.633222      0.010924        0.517371       
45              224.675000      93.931878       176.892861      0.013639        0.531010       
46              224.675000      96.375893       177.852052      0.010878        0.541888       
47              224.675000      98.831366       178.777726      0.010929        0.552817       
48              224.675000      101.285940      179.667189      0.010925        0.563742       
49              224.675000      103.743885      180.523985      0.010940        0.574682       
50              224.675000      106.188573      181.344404      0.010881        0.585563       
51              224.675000      108.644721      182.138527      0.010932        0.596495       
52              227.117000      112.173210      183.280275      0.015536        0.612031       
53              227.117000      114.646287      184.046567      0.010889        0.622920       
54              227.117000      117.130493      184.789800      0.010938        0.633858       
55              227.117000      119.664210      185.521881      0.011156        0.645014       
56              227.117000      122.149097      186.215666      0.010941        0.655955       
57              227.117000      124.642842      186.889040      0.010980        0.666935       
58              227.117000      127.128183      187.538441      0.010943        0.677878       
59              227.117000      130.288744      188.334596      0.013916        0.691794       
60              227.117000      132.761139      188.935418      0.010886        0.702680       
61              230.320000      135.281301      189.569969      0.010942        0.713622       
62              230.320000      137.788104      190.182143      0.010884        0.724506       
63              230.320000      140.306883      190.778991      0.010936        0.735442       
64              230.320000      142.836948      191.360908      0.010985        0.746427       
65              230.320000      145.353655      191.923004      0.010927        0.757354       
66              230.320000      148.776210      192.661892      0.014860        0.772214       
67              230.320000      151.282783      193.185241      0.010883        0.783097       
68              230.320000      153.802483      193.696872      0.010940        0.794037       
