#timestep       power           acc-energy      avg-power       dt              acc-time       
1               79.529951       0.832520        79.537550       0.010468        0.010467       
2               97.139790       1.828979        88.249915       0.010258        0.020725       
3               83.230300       2.682007        86.588973       0.010249        0.030974       
4               89.444377       3.598633        87.298841       0.010248        0.041222       
5               87.720544       4.497681        87.382811       0.010249        0.051471       
6               90.132412       5.421448        87.839400       0.010249        0.061720       
7               95.945688       6.401245        88.990229       0.010212        0.071932       
8               81.426093       7.231628        88.050997       0.010198        0.082130       
9               80.506311       8.052551        87.217729       0.010197        0.092327       
10              82.406161       8.890869        86.740187       0.010173        0.102500       
11              104.235170      9.952087        88.320901       0.010181        0.112681       
12              97.458201       10.943237       89.077316       0.010170        0.122851       
13              104.553792      12.008118       90.262167       0.010185        0.133036       
14              99.366675       13.018677       90.908738       0.010170        0.143206       
15              98.116621       14.017700       91.387202       0.010182        0.153388       
16              100.414806      15.038818       91.948485       0.010169        0.163557       
17              103.380695      16.090820       92.618100       0.010176        0.173733       
18              92.077916       17.027161       92.588230       0.010169        0.183902       
19              91.531711       17.957214       92.532911       0.010161        0.194063       
20              91.687834       18.889221       92.490849       0.010165        0.204228       
21              90.565004       19.809814       92.399539       0.010165        0.214393       
22              90.379097       20.728699       92.308063       0.010167        0.224560       
23              99.963091       21.744324       92.639416       0.010160        0.234720       
24              90.499369       22.664612       92.550551       0.010169        0.244889       
25              89.679164       23.576111       92.436124       0.010164        0.255053       
26              89.911488       24.490601       92.339308       0.010171        0.265224       
27              89.427371       25.399719       92.231814       0.010166        0.275390       
28              90.208665       26.317322       92.159747       0.010172        0.285562       
29              90.628687       27.239197       92.107085       0.010172        0.295734       
30              105.887112      28.315857       92.565125       0.010168        0.305902       
31              97.899695       29.312378       92.736918       0.010179        0.316081       
32              101.805343      30.346924       93.019387       0.010162        0.326243       
33              94.084865       31.303955       93.051603       0.010172        0.336415       
34              89.967718       32.218567       92.961146       0.010166        0.346581       
35              102.348680      33.260681       93.229066       0.010182        0.356763       
36              110.198033      34.381836       93.699561       0.010174        0.366937       
37              97.138688       35.371582       93.792478       0.010189        0.377126       
38              97.473876       36.363281       93.889185       0.010174        0.387300       
39              100.284885      37.384583       94.053050       0.010184        0.397484       
40              98.445926       38.387451       94.162820       0.010187        0.407671       
41              100.872294      39.412415       94.325984       0.010161        0.417832       
42              107.102710      40.501221       94.629463       0.010166        0.427998       
43              91.624372       41.437988       94.559352       0.010224        0.438222       
44              90.399995       42.356995       94.465050       0.010166        0.448388       
45              91.871064       43.290588       94.407564       0.010162        0.458550       
46              90.444479       44.209595       94.321650       0.010161        0.468711       
47              91.303452       45.137329       94.257608       0.010161        0.478872       
48              100.886289      46.164856       94.395655       0.010185        0.489057       
49              102.681686      47.208923       94.564422       0.010168        0.499225       
50              101.545375      48.242554       94.703916       0.010179        0.509404       
51              97.640640       49.235168       94.761377       0.010166        0.519570       
52              95.385817       50.204956       94.773361       0.010167        0.529737       
53              95.832639       51.179382       94.793311       0.010168        0.539905       
54              105.832703      52.255066       94.997293       0.010164        0.550069       
55              117.114390      53.447876       95.399365       0.010185        0.560254       
56              104.303929      54.507812       95.558001       0.010162        0.570416       
57              98.391121       55.508057       95.607609       0.010166        0.580582       
58              99.831487       56.522644       95.680275       0.010163        0.590745       
59              99.200123       57.532104       95.739880       0.010176        0.600921       
60              94.261537       58.489990       95.715296       0.010162        0.611083       
61              101.969273      59.527222       95.817694       0.010172        0.621255       
62              100.704706      60.551086       95.896384       0.010167        0.631422       
63              100.030340      61.566895       95.961817       0.010155        0.641577       
64              101.107289      62.595459       96.042131       0.010173        0.651750       
65              100.263892      63.614441       96.106952       0.010163        0.661913       
66              106.738041      64.700500       96.267900       0.010175        0.672088       
67              112.040920      65.839172       96.502859       0.010163        0.682251       
68              100.984024      66.867493       96.568760       0.010183        0.692434       
69              102.067345      67.905518       96.648350       0.010170        0.702604       
70              103.753770      68.961731       96.749830       0.010180        0.712784       
71              94.593984       69.923279       96.719518       0.010165        0.722949       
72              93.443204       70.873596       96.674068       0.010170        0.733119       
73              102.790048      71.918457       96.757709       0.010165        0.743284       
74              93.625230       72.871094       96.715407       0.010175        0.753459       
75              94.335793       73.830017       96.683731       0.010165        0.763624       
76              95.870324       74.803772       96.673053       0.010157        0.773781       
77              102.664755      75.848694       96.750843       0.010178        0.783959       
78              100.695689      76.871460       96.801299       0.010157        0.794116       
79              97.455879       77.862976       96.809579       0.010174        0.804290       
80              103.317064      78.912781       96.890765       0.010161        0.814451       
81              92.279058       79.851074       96.833901       0.010168        0.824619       
82              95.147808       80.817871       96.813377       0.010161        0.834780       
83              92.876193       81.762329       96.765993       0.010169        0.844949       
84              95.660985       82.734436       96.752861       0.010162        0.855111       
85              94.680741       83.696960       96.728516       0.010166        0.865277       
86              105.953684      84.778748       96.836101       0.010210        0.875487       
87              101.946840      85.808411       96.894388       0.010100        0.885587       
88              91.654860       86.739624       96.834959       0.010160        0.895747       
89              96.939957       87.724243       96.836136       0.010157        0.905904       
90              93.023389       88.670105       96.793816       0.010168        0.916072       
91              97.122951       89.657166       96.797428       0.010163        0.926235       
92              105.677911      90.732544       96.893932       0.010176        0.936411       
93              94.583168       91.693604       96.869127       0.010161        0.946572       
94              102.755314      92.738831       96.931709       0.010172        0.956744       
95              91.696912       93.670471       96.876703       0.010160        0.966904       
96              96.413942       94.651001       96.871886       0.010170        0.977074       
97              90.955527       95.575928       96.810945       0.010169        0.987243       
98              97.180153       96.565125       96.814713       0.010179        0.997422       
99              111.653774      97.700867       96.964518       0.010172        1.007594       
100             95.613735       98.672302       96.951034       0.010160        1.017754       
101             94.710760       99.635132       96.928878       0.010166        1.027920       
102             98.033440       100.631348      96.939690       0.010162        1.038082       
103             102.667217      101.675781      96.995274       0.010173        1.048255       
104             94.641412       102.638000      96.972664       0.010167        1.058422       
105             110.955035      103.768188      97.105944       0.010186        1.068608       
106             103.994493      104.825500      97.170866       0.010167        1.078775       
107             101.120359      105.856018      97.207827       0.010191        1.088966       
108             100.564516      106.878357      97.238873       0.010166        1.099132       
109             95.996286       107.856079      97.227464       0.010185        1.109317       
110             95.310082       108.826050      97.210034       0.010177        1.119494       
111             102.044003      109.855164      97.253192       0.010085        1.129579       
112             98.785397       110.860107      97.266868       0.010173        1.139752       
113             110.749711      111.985657      97.386030       0.010163        1.149915       
114             94.368541       112.945007      97.359587       0.010166        1.160081       
115             91.147275       113.871155      97.305647       0.010161        1.170242       
116             90.634326       114.792725      97.248180       0.010168        1.180410       
117             104.656565      115.856873      97.311451       0.010168        1.190578       
118             101.161287      116.885986      97.344067       0.010173        1.200751       
119             105.803882      117.961060      97.415055       0.010161        1.210912       
120             92.849311       118.905151      97.377036       0.010168        1.221080       
121             90.886307       119.829102      97.323444       0.010166        1.231246       
122             91.108537       120.755493      97.272540       0.010168        1.241414       
123             93.209797       121.703064      97.239540       0.010166        1.251580       
124             99.483822       122.714417      97.257623       0.010166        1.261746       
125             102.288902      123.755615      97.297887       0.010179        1.271925       
126             103.730941      124.809937      97.348886       0.010164        1.282089       
127             89.279606       125.717285      97.285425       0.010163        1.292252       
128             89.735676       126.629089      97.226524       0.010161        1.302413       
129             94.210206       127.590881      97.203065       0.010209        1.312622       
130             92.207154       128.528259      97.164670       0.010166        1.322788       
131             106.010006      129.607971      97.232255       0.010185        1.332973       
132             97.336054       130.598755      97.233042       0.010179        1.343152       
133             97.103565       131.587463      97.232068       0.010182        1.353334       
134             94.025835       132.543518      97.208158       0.010168        1.363502       
135             93.497571       133.485413      97.180944       0.010074        1.373576       
136             91.846634       134.420044      97.141716       0.010176        1.383752       
137             104.315941      135.480103      97.194018       0.010162        1.393914       
138             115.182727      136.652893      97.324466       0.010182        1.404096       
139             99.193396       137.660400      97.337888       0.010157        1.414253       
140             92.570087       138.601746      97.303851       0.010169        1.424422       
141             94.182939       139.559021      97.281739       0.010164        1.434586       
142             93.067664       140.505798      97.252066       0.010173        1.444759       
143             94.749471       141.469116      97.234578       0.010167        1.454926       
144             107.619509      142.564575      97.306729       0.010179        1.465105       
145             98.241765       143.564087      97.313177       0.010174        1.475279       
146             100.070801      144.583008      97.332079       0.010182        1.485461       
147             102.897091      145.629883      97.369935       0.010174        1.495635       
148             95.632753       146.601990      97.358208       0.010165        1.505800       
149             99.307373       147.612244      97.371288       0.010173        1.515973       
150             98.643283       148.615051      97.379761       0.010166        1.526139       
151             112.274251      149.758789      97.478523       0.010187        1.536326       
152             99.212908       150.767090      97.489921       0.010163        1.546489       
153             92.588093       151.708618      97.457899       0.010169        1.556658       
154             92.528264       152.649353      97.425911       0.010167        1.566825       
155             94.533493       153.612366      97.407227       0.010187        1.577012       
156             106.684004      154.697449      97.466674       0.010171        1.587183       
157             103.435685      155.749390      97.504678       0.010170        1.597353       
158             96.968547       156.735657      97.501286       0.010171        1.607524       
159             100.548866      157.763367      97.520540       0.010221        1.617745       
160             95.478008       158.735046      97.507771       0.010177        1.627922       
161             103.935113      159.791443      97.547652       0.010164        1.638086       
162             111.763964      160.929871      97.635506       0.010186        1.648272       
163             102.933798      161.976501      97.667990       0.010168        1.658440       
164             100.667829      163.001099      97.686288       0.010178        1.668618       
165             97.106297       163.988281      97.682776       0.010166        1.678784       
166             96.902596       164.975525      97.678070       0.010188        1.688972       
167             97.909687       165.970581      97.679455       0.010163        1.699135       
168             91.252719       166.898804      97.641210       0.010172        1.709307       
169             100.368123      167.918945      97.657329       0.010164        1.719471       
170             95.915839       168.888367      97.647152       0.010107        1.729578       
171             94.581789       169.854614      97.629153       0.010216        1.739794       
172             103.679282      170.908203      97.664286       0.010162        1.749956       
173             98.812251       171.913025      97.670918       0.010169        1.760125       
174             97.536102       172.903992      97.670144       0.010160        1.770285       
175             91.846923       173.837708      97.636895       0.010166        1.780451       
176             109.570437      174.952148      97.704679       0.010171        1.790622       
177             96.762028       175.936218      97.699356       0.010170        1.800792       
178             94.254999       176.894226      97.680024       0.010164        1.810956       
179             100.803394      177.919800      97.697473       0.010174        1.821130       
180             98.830534       178.925598      97.703770       0.010177        1.831307       
181             96.545974       179.907471      97.697376       0.010170        1.841477       
182             94.241931       180.865723      97.678401       0.010168        1.851645       
183             109.576156      181.979126      97.743334       0.010161        1.861806       
184             94.578404       182.941650      97.726128       0.010177        1.871983       
185             97.812366       183.935913      97.726594       0.010165        1.882148       
186             93.836975       184.889954      97.705696       0.010167        1.892315       
187             89.963621       185.803894      97.664354       0.010159        1.902474       
