#timestep       power           acc-energy      avg-power       dt              acc-time       
1               78.206983       0.812805        78.206983       0.010393        0.010393       
2               80.502234       1.633606        79.343628       0.010196        0.020589       
3               91.740581       2.572571        83.459992       0.010235        0.030824       
4               85.159370       3.444092        83.883574       0.010234        0.041058       
5               80.037175       4.260071        83.118467       0.010195        0.051253       
6               82.230664       5.098083        82.971218       0.010191        0.061444       
7               85.463539       5.972290        83.326916       0.010229        0.071673       
8               93.195324       6.926331        84.560256       0.010237        0.081910       
9               85.081300       7.795776        84.618050       0.010219        0.092129       
10              84.107958       8.650818        84.567358       0.010166        0.102295       
11              97.489703       9.644043        85.737782       0.010188        0.112483       
12              96.971744       10.629761       86.668847       0.010165        0.122648       
13              99.003134       11.638306       87.614753       0.010187        0.132835       
14              113.480402      12.792969       89.455064       0.010175        0.143010       
15              93.813074       13.747986       89.744669       0.010180        0.153190       
16              93.806072       14.702087       89.997536       0.010171        0.163361       
17              93.720781       15.655884       90.215882       0.010177        0.173538       
18              91.828749       16.589966       90.305187       0.010172        0.183710       
19              111.711740      17.726074       91.428070       0.010170        0.193880       
20              106.073074      18.806641       92.159147       0.010187        0.204067       
21              106.167927      19.886475       92.824217       0.010171        0.214238       
22              102.905813      20.934570       93.281751       0.010185        0.224423       
23              98.579552       21.936829       93.511354       0.010167        0.234590       
24              96.036473       22.915344       93.616463       0.010189        0.244779       
25              110.410294      24.038879       94.286754       0.010176        0.254955       
26              99.701344       25.054138       94.494709       0.010183        0.265138       
27              97.289031       26.043762       94.597952       0.010172        0.275310       
28              91.468813       26.975098       94.486352       0.010182        0.285492       
29              90.985649       27.900513       94.365926       0.010171        0.295663       
30              95.987732       28.878052       94.419928       0.010184        0.305847       
31              106.869963      29.966309       94.821088       0.010183        0.316030       
32              97.892802       30.961487       94.916819       0.010166        0.326196       
33              93.071111       31.908020       94.861015       0.010170        0.336366       
34              93.023678       32.853699       94.807114       0.010166        0.346532       
35              99.872440       33.870300       94.951656       0.010179        0.356711       
36              96.587459       34.852112       94.996979       0.010165        0.366876       
37              92.594095       35.793701       94.932173       0.010169        0.377045       
38              101.645209      36.827026       95.108420       0.010166        0.387211       
39              91.552734       37.759399       95.017299       0.010184        0.397395       
40              92.096136       38.695557       94.944442       0.010165        0.407560       
41              91.010360       39.617310       94.849049       0.010128        0.417688       
42              94.310148       40.576538       94.836238       0.010171        0.427859       
43              92.644566       41.524292       94.785060       0.010230        0.438089       
44              98.899392       42.530396       94.878432       0.010173        0.448262       
45              91.645803       43.461975       94.806752       0.010165        0.458427       
46              92.956531       44.407715       94.766581       0.010174        0.468601       
47              90.898315       45.331787       94.684444       0.010166        0.478767       
48              92.784950       46.276245       94.644900       0.010179        0.488946       
49              96.210807       47.254517       94.676800       0.010168        0.499114       
50              103.821514      48.311523       94.859607       0.010181        0.509295       
51              94.102365       49.268921       94.844776       0.010174        0.519469       
52              95.336351       50.240112       94.854230       0.010187        0.529656       
53              94.362537       51.199402       94.844971       0.010166        0.539822       
54              92.354170       52.138367       94.798926       0.010167        0.549989       
55              91.603732       53.070251       94.740899       0.010173        0.560162       
56              92.114039       54.006775       94.694071       0.010167        0.570329       
57              100.619529      55.030579       94.797932       0.010175        0.580504       
58              91.987800       55.966187       94.749543       0.010171        0.590675       
59              91.819407       56.901367       94.699875       0.010185        0.600860       
60              99.821162       57.916748       94.785131       0.010172        0.611032       
61              101.285886      58.948547       94.891733       0.010187        0.621219       
62              114.069337      60.110229       95.201051       0.010184        0.631403       
63              97.045779       61.097961       95.230316       0.010178        0.641581       
64              91.270664       62.026184       95.168529       0.010170        0.651751       
65              89.090186       62.931519       95.075212       0.010162        0.661913       
66              91.531735       63.862671       95.021576       0.010173        0.672086       
67              104.142098      64.921692       95.157517       0.010169        0.682255       
68              98.260191       65.922668       95.203163       0.010187        0.692442       
69              108.266885      67.023743       95.392254       0.010170        0.702612       
70              100.720591      68.049683       95.468397       0.010186        0.712798       
71              101.983477      69.086243       95.559992       0.010164        0.722962       
72              101.357567      70.118164       95.640501       0.010181        0.733143       
73              98.970743       71.125488       95.686101       0.010178        0.743321       
74              116.627916      72.313110       95.969113       0.010183        0.753504       
75              102.783419      73.358521       96.059869       0.010171        0.763675       
76              96.974548       74.344849       96.071891       0.010171        0.773846       
77              92.656791       75.287354       96.027583       0.010172        0.784018       
78              96.827637       76.271606       96.037823       0.010165        0.794183       
79              106.113448      77.352478       96.165414       0.010186        0.804369       
80              97.628646       78.345459       96.183685       0.010171        0.814540       
81              109.334937      79.459473       96.346161       0.010189        0.824729       
82              107.843577      80.556458       96.486239       0.010172        0.834901       
83              101.609391      81.591248       96.547977       0.010184        0.845085       
84              93.554822       82.542419       96.512396       0.010167        0.855252       
85              94.504115       83.504944       96.488761       0.010185        0.865437       
86              104.024204      84.570984       96.576947       0.010248        0.875685       
87              98.730517       85.575073       96.601671       0.010170        0.885855       
88              110.097109      86.695862       96.754995       0.010180        0.896035       
89              105.028730      87.763794       96.847830       0.010168        0.906203       
90              98.598938       88.768616       96.867303       0.010191        0.916394       
91              100.149024      89.787231       96.903327       0.010171        0.926565       
92              104.948358      90.856445       96.990824       0.010188        0.936753       
93              114.495687      92.020752       97.178809       0.010169        0.946922       
94              95.365180       92.990234       97.159545       0.010166        0.957088       
95              93.314345       93.939148       97.119119       0.010169        0.967257       
96              106.043117      95.019409       97.212126       0.010187        0.977444       
97              96.106075       95.997192       97.200732       0.010174        0.987618       
98              100.011674      97.005310       97.229132       0.010080        0.997698       
99              105.657850      98.079956       97.314191       0.010171        1.007869       
100             95.521280       99.051025       97.296287       0.010166        1.018035       
101             96.446101       100.032654      97.287871       0.010178        1.028213       
102             105.140108      101.101929      97.364776       0.010170        1.038383       
103             98.928765       102.108826      97.379958       0.010178        1.048561       
104             90.741895       103.030945      97.316243       0.010162        1.058723       
105             100.116861      104.049133      97.342890       0.010170        1.068893       
106             94.080356       105.005554      97.312153       0.010166        1.079059       
107             98.307436       106.006226      97.321454       0.010179        1.089238       
108             92.542980       106.947388      97.277251       0.010170        1.099408       
109             93.099598       107.895142      97.238923       0.010180        1.109588       
110             92.131821       108.832214      97.192534       0.010171        1.119759       
111             101.467044      109.863525      97.230984       0.010164        1.129923       
112             95.000930       110.829590      97.211093       0.010169        1.140092       
113             106.427504      111.912170      97.292596       0.010172        1.150264       
114             103.669920      112.968567      97.348595       0.010190        1.160454       
115             100.044843      113.986023      97.372019       0.010170        1.170624       
116             93.786752       114.940491      97.341119       0.010177        1.180801       
117             90.009744       115.855530      97.278539       0.010166        1.190967       
118             99.332783       116.866638      97.295948       0.010179        1.201146       
119             89.277722       117.774414      97.228641       0.010168        1.211314       
120             99.709534       118.789856      97.249325       0.010184        1.221498       
121             97.104113       119.777405      97.248126       0.010170        1.231668       
122             90.698110       120.700439      97.194448       0.010177        1.241845       
123             93.671137       121.654480      97.165787       0.010185        1.252030       
124             108.025922      122.752563      97.253248       0.010165        1.262195       
125             96.434225       123.732239      97.246709       0.010159        1.272354       
126             92.164886       124.669556      97.206411       0.010170        1.282524       
127             92.125595       125.606934      97.166420       0.010175        1.292699       
128             97.623839       126.599670      97.169990       0.010169        1.302868       
129             99.657989       127.620667      97.189401       0.010245        1.313113       
130             112.702878      128.768433      97.308792       0.010184        1.323297       
131             105.729531      129.844971      97.373090       0.010182        1.333479       
132             91.852868       130.778931      97.331316       0.010168        1.343647       
133             90.550146       131.702271      97.280241       0.010197        1.353844       
134             93.718653       132.656982      97.253642       0.010187        1.364031       
135             105.909533      133.733765      97.317682       0.010167        1.374198       
136             103.838954      134.790222      97.365608       0.010174        1.384372       
137             95.944984       135.765503      97.355253       0.010165        1.394537       
138             102.387927      136.809143      97.391771       0.010193        1.404730       
139             100.793762      137.835022      97.416243       0.010178        1.414908       
140             102.657659      138.881104      97.453721       0.010190        1.425098       
141             104.638552      139.945801      97.504656       0.010175        1.435273       
142             112.751237      141.094849      97.612150       0.010191        1.445464       
143             104.252410      142.156555      97.658606       0.010184        1.455648       
144             100.472521      143.181274      97.678185       0.010199        1.465847       
145             94.306335       144.140747      97.654943       0.010174        1.476021       
146             93.066598       145.086304      97.623576       0.010160        1.486181       
147             102.774902      146.132141      97.658608       0.010176        1.496357       
148             97.165473       147.120605      97.655278       0.010173        1.506530       
149             103.590789      148.175781      97.695140       0.010186        1.516716       
150             93.419198       149.125854      97.666659       0.010170        1.526886       
151             100.456567      150.148804      97.685142       0.010183        1.537069       
152             99.314188       151.158630      97.695848       0.010168        1.547237       
153             99.606734       152.171631      97.708326       0.010170        1.557407       
154             103.445857      153.223572      97.745546       0.010169        1.567576       
155             97.937329       154.214600      97.746776       0.010119        1.577695       
156             94.325968       155.173706      97.724871       0.010168        1.587863       
157             93.555216       156.124695      97.698347       0.010165        1.598028       
158             94.173158       157.082153      97.676061       0.010167        1.608195       
159             96.581455       158.063904      97.669186       0.010165        1.618360       
160             107.003232      159.154053      97.727579       0.010188        1.628548       
161             106.274390      160.234863      97.780621       0.010170        1.638718       
162             103.448808      161.288696      97.815639       0.010187        1.648905       
163             102.317640      162.328857      97.843225       0.010166        1.659071       
164             100.882129      163.356140      97.861763       0.010183        1.669254       
165             92.737679       164.299561      97.830725       0.010173        1.679427       
166             104.865410      165.367615      97.873130       0.010185        1.689612       
167             97.915438       166.363708      97.873383       0.010173        1.699785       
168             97.620223       167.356018      97.871878       0.010165        1.709950       
169             107.335623      168.449768      97.927941       0.010190        1.720140       
170             105.095754      169.518066      97.970049       0.010165        1.730305       
171             98.774770       170.528137      97.974777       0.010226        1.740531       
172             112.021842      171.667175      98.056362       0.010168        1.750699       
173             101.599526      172.702881      98.076874       0.010194        1.760893       
174             101.561204      173.735657      98.096880       0.010169        1.771062       
175             102.562563      174.779846      98.122405       0.010181        1.781243       
176             90.865361       175.703674      98.081218       0.010167        1.791410       
177             94.227928       176.663574      98.059430       0.010187        1.801597       
178             100.153497      177.683838      98.071204       0.010187        1.811784       
179             107.087755      178.772278      98.121504       0.010164        1.821948       
180             97.812212       179.767517      98.119786       0.010175        1.832123       
181             88.901773       180.671204      98.068925       0.010165        1.842288       
182             93.955150       181.627197      98.046329       0.010175        1.852463       
183             98.472453       182.628662      98.048656       0.010170        1.862633       
184             102.353108      183.670105      98.072042       0.010175        1.872808       
185             90.544087       184.590576      98.031399       0.010166        1.882974       
186             90.419344       185.510864      97.990475       0.010178        1.893152       
187             90.522973       186.431030      97.950594       0.010165        1.903317       
188             99.954129       187.449463      97.961262       0.010189        1.913506       
189             94.250139       188.408081      97.941640       0.010171        1.923677       
190             93.581637       189.359619      97.918716       0.010168        1.933845       
191             102.067244      190.397949      97.940425       0.010173        1.944018       
