#timestep       power           acc-energy      avg-power       dt              acc-time       
1               17.459604       0.181335        17.459604       0.010386        0.010386       
2               14.942841       0.332886        16.216180       0.010142        0.020528       
3               14.663390       0.481323        15.703345       0.010123        0.030651       
4               13.854938       0.621826        15.243827       0.010141        0.040792       
5               13.015691       0.753662        14.800615       0.010129        0.050921       
6               12.939550       0.884766        14.491763       0.010132        0.061053       
7               12.956343       1.016052        14.273203       0.010133        0.071186       
8               12.063688       1.138306        13.997856       0.010134        0.081320       
9               11.197336       1.251343        13.688593       0.010095        0.091415       
10              22.288435       1.783813        15.470391       0.023890        0.115305       
11              62.039601       2.409607        19.216592       0.010087        0.125392       
12              62.379650       3.038269        22.427615       0.010078        0.135470       
13              69.616049       3.739929        25.695327       0.010079        0.145549       
14              61.719448       4.362000        28.028372       0.010079        0.155628       
15              64.038176       5.007568        30.219049       0.010081        0.165709       
16              65.972001       5.672302        32.268409       0.010076        0.175785       
17              65.365394       6.331055        34.063018       0.010078        0.185863       
18              66.868508       7.004822        35.750013       0.010076        0.195939       
19              67.830973       7.688354        37.319211       0.010077        0.206016       
20              67.199834       8.365662        38.712888       0.010079        0.216095       
21              67.436641       9.045288        39.992785       0.010078        0.226173       
22              67.527485       9.725830        41.167360       0.010078        0.236251       
23              67.647298       10.407715       42.250934       0.010080        0.246331       
24              67.701133       11.090210       43.251525       0.010081        0.256412       
25              67.446209       11.770203       44.166858       0.010082        0.266494       
26              67.495280       12.450623       45.017166       0.010081        0.276575       
27              67.742848       13.133606       45.816449       0.010082        0.286657       
28              74.030246       13.880127       46.775225       0.010084        0.296741       
29              67.313023       14.558777       47.450083       0.010082        0.306823       
30              66.434676       15.228638       48.054116       0.010083        0.316906       
31              68.268101       15.917053       48.677492       0.010084        0.326990       
32              67.559938       16.598328       49.242385       0.010084        0.337074       
33              67.795992       17.281982       49.781317       0.010084        0.347158       
34              66.277811       17.950195       50.246880       0.010082        0.357240       
35              67.947309       18.635376       50.732803       0.010084        0.367324       
36              67.312401       19.314087       51.175752       0.010083        0.377407       
37              68.237123       20.002258       51.619797       0.010085        0.387492       
38              67.485091       20.682373       52.021966       0.010078        0.397570       
39              66.452299       21.352478       52.378924       0.010084        0.407654       
40              67.710593       22.035339       52.749059       0.010085        0.417739       
41              75.373939       22.795410       53.282339       0.010084        0.427823       
42              69.151791       23.492737       53.647776       0.010084        0.437907       
43              61.801803       24.166809       53.845934       0.010907        0.448814       
44              74.167770       24.914124       54.292147       0.010076        0.458890       
45              67.753567       25.596741       54.581346       0.010075        0.468965       
46              66.959371       26.271423       54.841701       0.010076        0.479041       
47              67.880107       26.955383       55.110297       0.010076        0.489117       
48              67.534831       27.635864       55.361081       0.010076        0.499193       
49              67.806745       28.319153       55.607345       0.010077        0.509270       
50              68.151988       29.005920       55.850752       0.010077        0.519347       
51              67.697061       29.688171       56.076255       0.010078        0.529425       
52              67.482532       30.368530       56.289409       0.010082        0.539507       
53              67.380875       31.047729       56.492838       0.010080        0.549587       
54              68.367852       31.736877       56.706716       0.010080        0.559667       
55              66.623990       32.408447       56.882173       0.010080        0.569747       
56              68.337577       33.097290       57.081319       0.010080        0.579827       
57              67.663491       33.779541       57.262194       0.010083        0.589910       
58              74.934851       34.535034       57.559158       0.010082        0.599992       
59              68.046933       35.220947       57.732443       0.010080        0.610072       
60              67.972208       35.906311       57.898930       0.010083        0.620155       
61              68.779597       36.599609       58.072956       0.010080        0.630235       
62              67.899568       37.284241       58.227694       0.010083        0.640318       
63              67.675471       37.966003       58.374032       0.010074        0.650392       
64              68.800736       38.659790       58.533225       0.010084        0.660476       
65              68.202943       39.347412       58.678611       0.010082        0.670558       
66              67.814823       40.031189       58.813955       0.010083        0.680641       
67              67.039408       40.707214       58.934039       0.010084        0.690725       
68              68.764420       41.400635       59.075490       0.010084        0.700809       
69              67.735465       42.083679       59.198331       0.010084        0.710893       
70              68.521571       42.774719       59.328744       0.010085        0.720978       
71              67.214936       43.452515       59.437523       0.010084        0.731062       
72              68.849157       44.146790       59.565578       0.010084        0.741146       
73              72.807390       44.880615       59.743240       0.010079        0.751225       
74              68.462523       45.570923       59.858721       0.010083        0.761308       
75              68.333233       46.260132       59.969525       0.010086        0.771394       
76              68.134942       46.947205       60.074890       0.010084        0.781478       
77              67.461821       47.627625       60.169013       0.010086        0.791564       
78              69.011788       48.323608       60.280258       0.010085        0.801649       
79              68.181946       49.011292       60.378438       0.010086        0.811735       
80              67.546541       49.692566       60.466410       0.010086        0.821821       
81              68.544290       50.383972       60.564356       0.010087        0.831908       
82              67.236362       51.060303       60.644066       0.010059        0.841967       
83              68.482015       51.750122       60.736728       0.010073        0.852040       
84              68.510827       52.440369       60.827579       0.010075        0.862115       
85              67.970969       53.125244       60.910104       0.010076        0.872191       
86              68.282553       53.815308       60.994549       0.010106        0.882297       
87              75.695710       54.577942       61.160527       0.010075        0.892372       
88              67.323443       55.256226       61.229330       0.010075        0.902447       
89              68.819789       55.949585       61.313135       0.010075        0.912522       
90              68.418490       56.639038       61.390743       0.010077        0.922599       
91              68.345082       57.327820       61.465888       0.010078        0.932677       
92              67.776461       58.010803       61.533341       0.010077        0.942754       
93              68.485116       58.700928       61.606862       0.010077        0.952831       
94              68.997580       59.396423       61.684230       0.010080        0.962911       
95              68.240696       60.084290       61.752153       0.010080        0.972991       
96              67.901611       60.768738       61.815207       0.010080        0.983071       
97              68.190125       61.456299       61.879929       0.010083        0.993154       
98              68.535906       62.147278       61.946818       0.010082        1.003236       
