#timestep       power           acc-energy      avg-power       dt              acc-time       
1               16.846755       0.175964        16.846755       0.010445        0.010445       
2               14.834516       0.326416        15.855444       0.010142        0.020587       
3               16.186983       0.490601        15.964874       0.010143        0.030730       
4               14.556855       0.638062        15.615798       0.010130        0.040860       
5               13.573409       0.775574        15.210012       0.010131        0.050991       
6               12.949408       0.906738        14.835378       0.010129        0.061120       
7               12.890085       1.037354        14.558735       0.010133        0.071253       
8               12.645838       1.165405        14.320713       0.010126        0.081379       
9               11.286247       1.279419        13.985625       0.010102        0.091481       
10              18.433472       1.705933        14.883506       0.023138        0.114619       
11              57.144445       2.282349        18.301835       0.010087        0.124706       
12              57.607644       2.862976        21.241059       0.010079        0.134785       
13              57.189802       3.439392        23.742214       0.010079        0.144864       
14              55.553682       3.999207        25.811157       0.010077        0.154941       
15              59.375901       4.597656        27.861206       0.010079        0.165020       
16              59.194048       5.194214        29.664610       0.010078        0.175098       
17              60.193334       5.800842        31.326102       0.010078        0.185176       
18              60.835299       6.413940        32.849214       0.010078        0.195254       
19              62.306848       7.041931        34.295175       0.010079        0.205333       
20              62.543020       7.672302        35.616875       0.010079        0.215412       
21              62.488230       8.302246        36.818199       0.010081        0.225493       
22              62.179452       8.929077        37.903492       0.010081        0.235574       
23              61.961491       9.553711        38.890765       0.010081        0.245655       
24              62.621114       10.185120       39.826383       0.010083        0.255738       
25              61.985614       10.810059       40.666837       0.010082        0.265820       
26              68.497230       11.500305       41.683328       0.010077        0.275897       
27              62.409249       12.129578       42.414077       0.010083        0.285980       
28              62.384902       12.758667       43.094287       0.010084        0.296064       
29              61.985520       13.383667       43.716473       0.010083        0.306147       
30              62.178998       14.010742       44.305264       0.010085        0.316232       
31              62.318323       14.639160       44.861913       0.010084        0.326316       
32              62.348326       15.268005       45.386191       0.010086        0.336402       
33              62.245451       15.895813       45.876951       0.010086        0.346488       
34              62.300290       16.523987       46.341365       0.010083        0.356571       
35              61.840002       17.147705       46.767701       0.010086        0.366657       
36              62.627641       17.778992       47.192051       0.010080        0.376737       
37              62.463304       18.408997       47.590233       0.010086        0.386823       
38              62.427409       19.038452       47.967156       0.010083        0.396906       
39              62.069958       19.664490       48.316649       0.010086        0.406992       
40              68.497362       20.355286       48.804623       0.010085        0.417077       
41              62.596436       20.986633       49.130269       0.010086        0.427163       
42              61.707070       21.608826       49.420294       0.010083        0.437246       
43              61.547905       22.231567       49.694583       0.010118        0.447364       
44              62.323609       22.860413       49.973140       0.010090        0.457454       
45              62.856650       23.494385       50.251069       0.010086        0.467540       
46              62.300416       24.122498       50.505415       0.010082        0.477622       
47              62.178998       24.749573       50.746806       0.010085        0.487707       
48              62.081957       25.375793       50.976495       0.010087        0.497794       
49              62.154568       26.002747       51.198502       0.010087        0.507881       
50              62.459795       26.631592       51.417402       0.010068        0.517949       
51              61.822628       27.254517       51.615959       0.010076        0.528025       
52              68.513916       27.945068       51.932467       0.010079        0.538104       
53              62.731082       28.577209       52.130974       0.010077        0.548181       
54              62.409931       29.206177       52.316535       0.010078        0.558259       
55              61.325886       29.824158       52.476278       0.010077        0.568336       
56              62.882504       30.457825       52.657573       0.010077        0.578413       
57              62.204018       31.084717       52.821057       0.010078        0.588491       
58              62.349890       31.712830       52.981430       0.010074        0.598565       
