#timestep       power           acc-energy      avg-power       dt              acc-time       
1               53.258000       0.539717        53.258000       0.010134        0.010134       
2               53.258000       1.178813        53.258000       0.012000        0.022134       
3               49.428000       1.693704        52.032320       0.010417        0.032551       
4               49.428000       2.243788        51.368779       0.011129        0.043680       
5               48.470000       2.753014        50.806741       0.010506        0.054186       
6               48.470000       3.290304        50.409892       0.011085        0.065271       
7               48.470000       3.795604        50.142726       0.010425        0.075696       
8               48.470000       4.328628        49.930541       0.010997        0.086693       
9               48.470000       4.831989        49.774298       0.010385        0.097078       
10              48.470000       5.365111        49.641560       0.010999        0.108077       
11              168.204000      7.113591        60.044495       0.010395        0.118472       
12              168.204000      8.972246        69.271982       0.011050        0.129522       
13              196.852000      11.044507       78.861731       0.010527        0.140049       
14              202.215000      13.302439       87.970369       0.011166        0.151215       
15              202.215000      15.636809       96.073392       0.011544        0.162759       
16              204.455000      17.763755       102.584601      0.010403        0.173162       
17              204.455000      20.017462       108.681283      0.011023        0.184185       
18              204.930000      22.148324       113.824559      0.010398        0.194583       
19              204.930000      24.402554       118.699281      0.011000        0.205583       
20              206.019000      26.544122       122.901970      0.010395        0.215978       
21              206.019000      28.819808       126.946083      0.011046        0.227024       
22              203.842000      30.962595       130.349062      0.010512        0.237536       
23              203.842000      33.242771       133.654326      0.011186        0.248722       
24              204.930000      35.390848       136.536657      0.010482        0.259204       
25              204.930000      37.644668       139.320463      0.010998        0.270202       
26              205.544000      39.785203       141.778099      0.010414        0.280616       
27              205.544000      42.065303       144.202964      0.011093        0.291709       
28              205.544000      44.359174       146.463235      0.011160        0.302869       
29              206.356000      46.504863       148.451204      0.010398        0.313267       
30              206.356000      48.777256       150.417559      0.011012        0.324279       
31              216.335000      51.031034       152.469349      0.010418        0.334697       
32              216.335000      53.433866       154.520672      0.011107        0.345804       
33              222.363000      55.755114       156.508658      0.010439        0.356243       
34              222.363000      58.199550       158.479970      0.010993        0.367236       
35              222.512000      60.516790       160.245704      0.010414        0.377650       
36              222.512000      62.996241       162.030287      0.011143        0.388793       
37              222.988000      65.338507       163.633855      0.010504        0.399297       
38              222.988000      67.804532       165.233436      0.011059        0.410356       
39              222.363000      70.124445       166.649900      0.010433        0.420789       
40              222.837000      72.603061       168.096883      0.011123        0.431912       
41              222.837000      75.111314       169.487224      0.011256        0.443168       
42              225.364000      77.460283       170.771208      0.010423        0.453591       
43              225.364000      79.955739       172.072161      0.011073        0.464664       
44              225.212000      82.325644       173.248941      0.010523        0.475187       
45              225.212000      84.831128       174.437661      0.011125        0.486312       
46              225.687000      87.199939       175.520400      0.010496        0.496808       
47              225.687000      89.707096       176.617628      0.011109        0.507917       
48              226.162000      92.082249       177.621285      0.010502        0.518419       
49              226.162000      94.586541       178.636393      0.011073        0.529492       
50              226.636000      96.941742       179.560317      0.010392        0.539884       
51              227.111000      99.465400       180.519277      0.011112        0.550996       
52              227.111000      102.315870      181.556941      0.012551        0.563547       
53              226.162000      104.671799      182.366489      0.010417        0.573964       
54              226.162000      107.183554      183.197830      0.011106        0.585070       
55              226.162000      109.553054      183.953666      0.010477        0.595547       
56              226.162000      112.039479      184.718723      0.010994        0.606541       
57              226.636000      114.395133      185.424937      0.010394        0.616935       
58              226.636000      116.887903      186.146797      0.010999        0.627934       
59              226.636000      119.243557      186.806089      0.010394        0.638328       
60              226.636000      121.747885      187.483846      0.011050        0.649378       
61              226.162000      124.106529      188.095198      0.010429        0.659807       
62              226.162000      126.627783      188.727683      0.011148        0.670955       
63              225.687000      128.997496      189.297160      0.010500        0.681455       
64              225.687000      131.503299      189.880557      0.011103        0.692558       
65              225.687000      134.019935      190.447947      0.011151        0.703709       
66              226.009000      136.369072      190.965550      0.010394        0.714103       
67              226.009000      138.853363      191.496787      0.010992        0.725095       
68              226.636000      141.207658      191.993095      0.010388        0.735483       
69              226.636000      143.699294      192.503311      0.010994        0.746477       
70              226.789000      146.069466      192.976698      0.010451        0.756928       
71              226.789000      148.565052      193.461207      0.011004        0.767932       
72              226.484000      150.924109      193.903125      0.010416        0.778348       
73              226.484000      153.441932      194.361918      0.011117        0.789465       
74              226.636000      155.822290      194.785654      0.010503        0.799968       
75              226.636000      158.333417      195.220772      0.011080        0.811048       
76              227.111000      160.694917      195.624444      0.010398        0.821446       
77              227.111000      163.195863      196.040957      0.011012        0.832458       
78              227.111000      165.812182      196.465052      0.011520        0.843978       
79              227.111000      168.174136      196.838093      0.010400        0.854378       
80              227.111000      170.677808      197.223727      0.011024        0.865402       
81              226.636000      173.057939      197.576377      0.010502        0.875904       
82              226.636000      175.582438      197.941292      0.011139        0.887043       
83              226.162000      177.961210      198.271994      0.010518        0.897561       
84              226.162000      180.479297      198.613723      0.011134        0.908695       
85              225.839000      182.850607      198.924719      0.010500        0.919195       
86              225.839000      185.369163      199.247338      0.011152        0.930347       
87              225.687000      187.743165      199.542937      0.010519        0.940866       
88              225.364000      190.264537      199.846371      0.011188        0.952054       
89              225.364000      193.041923      200.172467      0.012324        0.964378       
90              226.958000      195.401833      200.458190      0.010398        0.974776       
91              226.958000      197.900413      200.754133      0.011009        0.985785       
92              227.264000      200.262141      201.030681      0.010392        0.996177       
93              227.264000      202.765454      201.317578      0.011015        1.007192       
94              226.636000      205.124508      201.576559      0.010409        1.017601       
95              226.636000      207.639714      201.846910      0.011098        1.028699       
96              227.264000      210.014623      202.102512      0.010450        1.039149       
97              227.264000      212.526345      202.367304      0.011052        1.050201       
98              226.636000      214.891065      202.606047      0.010434        1.060635       
99              226.636000      217.411937      202.855436      0.011123        1.071758       
100             158.417000      219.073097      202.424867      0.010486        1.082244       
101             99.971000       220.171979      201.394739      0.010992        1.093236       
102             99.971000       221.299652      200.358937      0.011280        1.104516       
103             63.226000       221.956886      199.080362      0.010395        1.114911       
104             63.226000       222.656924      197.744481      0.011072        1.125983       
105             56.130000       223.246514      196.435607      0.010504        1.136487       
106             56.130000       223.869893      195.077779      0.011106        1.147593       
107             55.172000       224.452344      193.802482      0.010557        1.158150       
