#timestep       power           acc-energy      avg-power       dt              acc-time       
1               59.890000       0.604709        59.890000       0.010097        0.010097       
2               59.890000       1.270327        59.890000       0.011114        0.021211       
3               59.890000       1.917498        59.890000       0.010806        0.032017       
4               62.261000       2.594088        60.490822       0.010867        0.042884       
5               62.261000       3.266881        60.847100       0.010806        0.053690       
6               62.261000       3.970181        61.092867       0.011296        0.064986       
7               62.261000       4.736303        61.278838       0.012305        0.077291       
8               62.261000       5.410091        61.399466       0.010822        0.088113       
9               62.261000       6.085436        61.493899       0.010847        0.098960       
10              62.261000       6.757731        61.569367       0.010798        0.109758       
11              62.261000       7.437434        61.631936       0.010917        0.120675       
12              62.261000       8.112405        61.683790       0.010841        0.131516       
13              62.261000       8.800327        61.728525       0.011049        0.142565       
14              153.766000      10.467766       68.234365       0.010844        0.153409       
15              153.766000      12.142431       73.904024       0.010891        0.164300       
16              153.766000      14.227037       79.991436       0.013557        0.177857       
17              153.766000      15.894014       84.229902       0.010841        0.188698       
18              153.766000      17.568680       88.024288       0.010891        0.199589       
19              153.766000      19.236579       91.412968       0.010847        0.210436       
20              153.766000      20.910015       94.479076       0.010883        0.221319       
21              153.766000      22.598980       97.282344       0.010984        0.232303       
22              263.886000      25.470852       104.738150      0.010883        0.243186       
23              263.886000      28.400778       111.687010      0.011103        0.254289       
24              263.886000      31.314871       118.021464      0.011043        0.265332       
25              263.886000      34.740639       124.825338      0.012982        0.278314       
26              263.886000      37.601427       130.039001      0.010841        0.289155       
27              263.886000      40.473035       134.893479      0.010882        0.300037       
28              263.886000      43.331184       139.387727      0.010831        0.310868       
29              263.886000      46.205430       143.602158      0.010892        0.321760       
30              263.886000      49.065955       147.522413      0.010840        0.332600       
31              263.886000      51.937826       151.209306      0.010883        0.343483       
32              265.146000      54.810153       154.692852      0.010833        0.354316       
33              265.146000      57.695471       157.984084      0.010882        0.365198       
34              265.146000      61.219262       161.746903      0.013290        0.378488       
35              265.146000      64.088937       164.621438      0.010823        0.389311       
36              265.146000      66.974521       167.355135      0.010883        0.400194       
37              265.146000      69.854802       169.939453      0.010863        0.411057       
38              265.146000      72.740651       172.395313      0.010884        0.421941       
39              265.146000      75.650098       174.746250      0.010973        0.432914       
40              265.325000      78.536569       176.966668      0.010879        0.443793       
41              265.325000      81.486717       179.126330      0.011119        0.454912       
42              265.325000      84.477991       181.210914      0.011274        0.466186       
43              265.325000      93.455793       186.902989      0.033837        0.500023       
44              265.325000      96.410983       188.611774      0.011138        0.511161       
45              265.325000      101.881985      191.586357      0.020620        0.531781       
46              265.325000      104.771639      193.066234      0.010891        0.542672       
47              262.209000      107.612412      194.419594      0.010834        0.553506       
48              262.209000      110.465245      195.726410      0.010880        0.564386       
49              262.209000      113.305231      196.978238      0.010831        0.575217       
50              262.209000      116.159638      198.189803      0.010886        0.586103       
51              262.209000      119.220142      199.439826      0.011672        0.597775       
52              262.209000      122.070091      200.560741      0.010869        0.608644       
53              262.209000      125.211617      201.750844      0.011981        0.620625       
54              262.209000      128.157011      202.825652      0.011233        0.631858       
55              262.209000      131.016925      203.833321      0.010907        0.642765       
56              256.017000      133.790869      204.698392      0.010835        0.653600       
57              256.017000      136.579406      205.539579      0.010892        0.664492       
58              256.017000      139.370247      206.354296      0.010901        0.675393       
59              256.017000      142.154688      207.141352      0.010876        0.686269       
60              256.017000      145.982654      208.183518      0.014952        0.701221       
61              256.017000      148.758135      208.911773      0.010841        0.712062       
62              256.017000      151.545136      209.621073      0.010886        0.722948       
63              256.017000      154.332905      210.309517      0.010889        0.733837       
64              256.017000      157.120674      210.977828      0.010889        0.744726       
65              260.706000      159.944902      211.690817      0.010833        0.755559       
66              260.706000      162.779819      212.386235      0.010874        0.766433       
67              260.706000      166.709180      213.318123      0.015072        0.781505       
68              260.706000      169.536015      213.966610      0.010843        0.792348       
69              260.706000      172.374843      214.600227      0.010889        0.803237       
70              260.706000      175.201678      215.214325      0.010843        0.814080       
71              260.706000      178.042070      215.815109      0.010895        0.824975       
72              260.706000      180.915311      216.406909      0.011021        0.835996       
73              262.685000      183.799855      217.006902      0.010981        0.846977       
74              262.685000      186.688076      217.592271      0.010995        0.857972       
75              262.685000      189.583653      218.164262      0.011023        0.868995       
76              262.685000      192.452173      218.716777      0.010920        0.879915       
77              262.685000      195.310974      219.253943      0.010883        0.890798       
78              262.685000      198.480794      219.834409      0.012067        0.902865       
79              262.685000      201.327511      220.342640      0.010837        0.913702       
80              262.685000      204.186837      220.841130      0.010885        0.924587       
81              262.685000      207.035656      221.326250      0.010845        0.935432       
82              262.685000      209.895771      221.802108      0.010888        0.946320       
83              256.268000      212.672434      222.192262      0.010835        0.957155       
84              256.268000      215.463449      222.575631      0.010891        0.968046       
85              256.268000      218.661930      223.004497      0.012481        0.980527       
86              256.268000      221.457558      223.370503      0.010909        0.991436       
87              256.268000      224.311102      223.735877      0.011135        1.002571       
88              256.268000      227.089816      224.083954      0.010843        1.013414       
89              256.268000      229.881599      224.426246      0.010894        1.024308       
90              256.268000      232.656726      224.759356      0.010829        1.035137       
91              256.268000      235.446203      225.087238      0.010885        1.046022       
92              259.026000      238.255599      225.435531      0.010846        1.056868       
