#timestep       power           acc-energy      avg-power       dt              acc-time       
1               55.614000       0.563147        55.614000       0.010126        0.010126       
2               51.308000       1.134000        53.359692       0.011126        0.021252       
3               51.308000       1.700800        52.657966       0.011047        0.032299       
4               48.949000       2.209673        51.754853       0.010396        0.042695       
5               48.949000       2.748406        51.179795       0.011006        0.053701       
6               48.503000       3.252401        50.745816       0.010391        0.064092       
7               48.503000       3.786952        50.416737       0.011021        0.075113       
8               48.470000       4.295063        50.178319       0.010483        0.085596       
9               48.470000       4.830754        49.982967       0.011052        0.096648       
10              48.470000       5.430134        49.811344       0.012366        0.109014       
11              164.870000      7.166380        59.947131       0.010531        0.119545       
12              164.870000      8.999075        68.873457       0.011116        0.130661       
13              193.786000      11.031115       78.153377       0.010486        0.141147       
14              193.786000      13.163730       86.516968       0.011005        0.152152       
15              199.496000      15.240084       93.750517       0.010408        0.162560       
16              199.496000      17.435139       100.454236      0.011003        0.173563       
17              200.448000      19.520399       106.108732      0.010403        0.183966       
18              200.448000      21.731741       111.445971      0.011032        0.194998       
19              199.362000      23.828830       115.945787      0.010519        0.205517       
20              199.362000      26.042945       120.222436      0.011106        0.216623       
21              200.448000      28.136824       123.913103      0.010446        0.227069       
22              199.972000      30.369712       127.477960      0.011166        0.238235       
23              199.972000      32.619797       130.747481      0.011252        0.249487       
24              205.682000      34.785423       133.781854      0.010529        0.260016       
25              205.682000      37.072606       136.730668      0.011120        0.271136       
26              213.627000      39.320390       139.603312      0.010522        0.281658       
27              213.627000      41.699981       142.419427      0.011139        0.292797       
28              214.909000      43.958460       144.931058      0.010509        0.303306       
29              214.909000      46.347173       147.404827      0.011115        0.314421       
30              216.005000      48.617818       149.624131      0.010512        0.324933       
31              216.005000      51.019145       151.820102      0.011117        0.336050       
32              215.860000      53.287402       153.761858      0.010508        0.346558       
33              217.760000      55.810587       155.832378      0.011587        0.358145       
34              217.760000      58.382333       157.809282      0.011810        0.369955       
35              219.334000      60.681172       159.504286      0.010481        0.380436       
36              219.334000      63.101523       161.190799      0.011035        0.391471       
37              219.661000      65.406426       162.717124      0.010493        0.401964       
38              219.661000      67.825553       164.235666      0.011013        0.412977       
39              219.661000      70.110686       165.597539      0.010403        0.423380       
40              219.661000      72.541455       166.974617      0.011066        0.434446       
41              218.711000      74.839670       168.196420      0.010508        0.444954       
42              218.711000      77.269549       169.426986      0.011110        0.456064       
43              219.661000      79.563469       170.551500      0.010443        0.466507       
44              219.334000      81.982504       171.678164      0.011029        0.477536       
45              219.334000      84.739313       172.900322      0.012569        0.490105       
46              220.285000      87.031158       173.885300      0.010404        0.500509       
47              220.285000      89.456055       174.883836      0.011008        0.511517       
48              218.089000      91.731159       175.747361      0.010432        0.521949       
49              218.089000      94.151729       176.628989      0.011099        0.533048       
50              219.661000      96.435984       177.452418      0.010399        0.543447       
51              219.661000      98.862140       178.293176      0.011045        0.554492       
52              218.711000      101.163198      179.045789      0.010521        0.565013       
53              218.711000      103.596139      179.811641      0.011124        0.576137       
54              218.236000      105.893073      180.500992      0.010525        0.586662       
55              218.236000      108.330988      181.206102      0.011171        0.597833       
56              218.236000      111.070068      181.967528      0.012551        0.610384       
57              218.858000      113.371797      182.592389      0.010517        0.620901       
58              218.858000      115.812283      183.232207      0.011151        0.632052       
59              218.858000      118.120140      183.816825      0.010545        0.642597       
60              218.858000      120.567848      184.416262      0.011184        0.653781       
61              219.186000      122.872808      184.966676      0.010516        0.664297       
62              219.186000      125.304677      185.528814      0.011095        0.675392       
63              219.513000      127.590246      186.044768      0.010412        0.685804       
64              219.513000      130.007304      186.573630      0.011011        0.696815       
65              220.136000      132.296498      187.067137      0.010399        0.707214       
66              220.136000      134.717774      187.573567      0.010999        0.718213       
67              220.136000      137.457587      188.128233      0.012446        0.730659       
68              219.661000      139.767322      188.575587      0.010515        0.741174       
69              219.661000      142.216982      189.036377      0.011152        0.752326       
70              219.988000      144.519816      189.461134      0.010468        0.762794       
71              219.988000      146.945844      189.896182      0.011028        0.773822       
72              219.513000      149.231852      190.289469      0.010414        0.784236       
73              219.513000      151.660544      190.696019      0.011064        0.795300       
74              220.136000      153.953921      191.076680      0.010418        0.805718       
75              220.136000      156.377398      191.468383      0.011009        0.816727       
76              220.136000      158.674517      191.830037      0.010435        0.827162       
77              220.136000      161.105259      192.202923      0.011042        0.838204       
78              219.661000      163.395225      192.540232      0.010425        0.848629       
79              219.661000      165.856087      192.893596      0.011203        0.859832       
80              219.661000      168.328591      193.239479      0.011256        0.871088       
81              220.136000      170.617565      193.556750      0.010398        0.881486       
82              220.136000      173.045665      193.885225      0.011030        0.892516       
83              219.186000      175.351940      194.180024      0.010522        0.903038       
84              219.186000      177.792796      194.484634      0.011136        0.914174       
85              218.564000      180.092963      194.758681      0.010524        0.924698       
86              218.564000      182.540224      195.043487      0.011197        0.935895       
87              218.711000      184.841720      195.306641      0.010523        0.946418       
88              218.711000      187.333276      195.585007      0.011392        0.957810       
89              219.186000      189.638674      195.841362      0.010518        0.968328       
90              220.136000      192.080863      196.116549      0.011094        0.979422       
91              220.136000      194.678028      196.402441      0.011798        0.991220       
92              218.711000      196.959621      196.634780      0.010432        1.001652       
93              218.711000      199.392124      196.877215      0.011122        1.012774       
94              219.186000      201.698400      197.106604      0.010522        1.023296       
95              219.186000      204.140789      197.344444      0.011143        1.034439       
96              220.136000      206.440330      197.572297      0.010446        1.044885       
97              220.136000      208.865568      197.807721      0.011017        1.055902       
98              105.704000      209.971021      196.904442      0.010458        1.066360       
99              105.704000      211.136830      195.970842      0.011029        1.077389       
