#timestep       power           acc-energy      avg-power       dt              acc-time       
1               61.049000       0.616656        61.049000       0.010101        0.010101       
2               61.049000       1.294849        61.049000       0.011109        0.021210       
3               61.049000       1.957109        61.049000       0.010848        0.032058       
4               61.049000       2.616133        61.049000       0.010795        0.042853       
5               61.049000       3.279247        61.049000       0.010862        0.053715       
6               80.748000       4.152617        64.350737       0.010816        0.064531       
7               80.748000       5.184819        67.061840       0.012783        0.077314       
8               80.748000       6.060208        68.744917       0.010841        0.088155       
9               80.748000       6.932610        70.055372       0.010804        0.098959       
10              80.748000       7.807676        71.110747       0.010837        0.109796       
11              80.748000       8.686779        71.980139       0.010887        0.120683       
12              80.748000       9.570162        72.708890       0.010940        0.131623       
13              80.748000       10.449669       73.323295       0.010892        0.142515       
14              80.748000       11.347426       73.860601       0.011118        0.153633       
15              180.266000      13.565599       81.751008       0.012305        0.165938       
16              180.266000      15.844522       88.725062       0.012642        0.178580       
17              180.266000      18.103615       94.727778       0.012532        0.191112       
18              180.266000      20.115744       99.447997       0.011162        0.202274       
19              180.266000      22.087313       103.593686      0.010937        0.213211       
20              180.266000      24.047526       107.314305      0.010874        0.224085       
21              180.266000      26.484903       111.465630      0.013521        0.237606       
22              180.266000      28.591130       114.690242      0.011684        0.249290       
23              261.687000      31.441687       120.844509      0.010893        0.260183       
24              261.687000      34.381479       126.674006      0.011234        0.271417       
25              261.687000      37.244073       131.904662      0.010939        0.282356       
26              261.687000      40.103788       136.740458      0.010928        0.293284       
27              261.687000      42.952775       141.212590      0.010887        0.304171       
28              261.687000      45.844939       145.436530      0.011052        0.315223       
29              261.687000      48.695496       149.319555      0.010893        0.326116       
30              261.687000      51.779477       153.238603      0.011785        0.337901       
31              261.687000      54.895646       156.930342      0.011908        0.349809       
32              264.702000      57.872485       160.287172      0.011246        0.361055       
33              264.702000      67.290317       169.653426      0.035579        0.396634       
34              264.702000      70.261332       172.269104      0.011224        0.407858       
35              264.702000      73.689488       175.113859      0.012951        0.420809       
36              264.702000      79.169614       179.314749      0.020703        0.441512       
37              264.702000      82.061483       181.376596      0.010925        0.452437       
38              259.529000      84.887494       183.213319      0.010889        0.463326       
39              259.529000      87.710651       184.963962      0.010878        0.474204       
40              259.529000      90.533028       186.635638      0.010875        0.485079       
41              259.529000      93.999817       188.589163      0.013358        0.498437       
42              259.529000      96.821935       190.103758      0.010874        0.509311       
43              259.529000      99.669228       191.567703      0.010971        0.520282       
44              259.529000      102.787728      193.101850      0.012016        0.532298       
45              259.529000      105.630869      194.441390      0.010955        0.543253       
46              259.529000      108.468299      195.725441      0.010933        0.554186       
47              256.200000      111.440988      196.965632      0.011603        0.565789       
48              256.200000      114.626835      198.239497      0.012435        0.578224       
49              256.200000      117.411985      199.309084      0.010871        0.589095       
50              256.200000      120.212763      200.345590      0.010932        0.600027       
51              256.200000      123.617917      201.555991      0.013291        0.613318       
52              256.200000      126.406398      202.508801      0.010884        0.624202       
53              256.200000      129.232284      203.441080      0.011030        0.635232       
54              256.200000      132.035368      204.334394      0.010941        0.646173       
55              256.200000      135.240174      205.319372      0.012509        0.658682       
56              260.990000      138.078180      206.223497      0.010874        0.669556       
57              260.990000      140.916446      207.098803      0.010875        0.680431       
58              260.990000      144.225016      208.084477      0.012677        0.693108       
59              260.990000      147.065109      208.902270      0.010882        0.703990       
60              260.990000      149.940958      209.704994      0.011019        0.715009       
61              260.990000      152.780529      210.473680      0.010880        0.725889       
62              260.990000      156.232905      211.377772      0.013228        0.739117       
63              260.990000      159.097270      212.103676      0.010975        0.750092       
64              260.990000      161.953023      212.806554      0.010942        0.761034       
65              262.439000      165.641078      213.706433      0.014053        0.775087       
66              262.439000      168.499039      214.381641      0.010890        0.785977       
67              262.439000      171.363298      215.039821      0.010914        0.796891       
