#timestep       power           acc-energy      avg-power       dt              acc-time       
1               54.215000       0.550716        54.215000       0.010158        0.010158       
2               51.343000       1.136899        52.695203       0.011417        0.021575       
3               51.343000       1.707012        52.235738       0.011104        0.032679       
4               48.916000       2.215493        51.434589       0.010395        0.043074       
5               48.916000       2.753129        50.922579       0.010991        0.054065       
6               48.438000       3.256109        50.522265       0.010384        0.064449       
7               48.438000       3.788831        50.218439       0.010998        0.075447       
8               48.438000       4.291859        50.003020       0.010385        0.085832       
9               48.438000       4.825888        49.824877       0.011025        0.096857       
10              126.948000      6.156684        57.356848       0.010483        0.107340       
11              185.221000      8.209674        69.324407       0.011084        0.118424       
12              185.221000      10.320267       79.497353       0.011395        0.129819       
13              216.810000      12.574440       89.679070       0.010397        0.140216       
14              216.810000      14.965855       98.950417       0.011030        0.151246       
15              222.037000      17.301240       106.953586      0.010518        0.161764       
16              222.037000      19.772068       114.360801      0.011128        0.172892       
17              223.636000      22.123377       120.625152      0.010514        0.183406       
18              223.636000      24.601263       126.493750      0.011080        0.194486       
19              226.636000      26.958731       131.577892      0.010402        0.204888       
20              226.636000      29.450141       136.418400      0.010993        0.215881       
21              226.162000      31.801321       140.541552      0.010396        0.226277       
22              226.162000      34.289329       144.511202      0.011001        0.237278       
23              225.687000      36.634217       147.916634      0.010390        0.247668       
24              226.636000      39.125853       151.262470      0.010994        0.258662       
25              226.636000      41.717436       154.453532      0.011435        0.270097       
26              226.636000      44.078076       157.133810      0.010416        0.280513       
27              226.636000      46.612547       159.798375      0.011183        0.291696       
28              225.212000      48.975021       162.069125      0.010490        0.302186       
29              225.212000      51.450326       164.285135      0.010991        0.313177       
30              243.568000      54.567509       167.397834      0.012798        0.325975       
31              243.568000      57.259179       169.895435      0.011051        0.337026       
32              254.008000      59.906704       172.418698      0.010423        0.347449       
33              251.940000      62.698200       174.876229      0.011080        0.358529       
34              251.940000      65.697797       177.353104      0.011906        0.370435       
35              252.414000      68.348901       179.422639      0.010503        0.380938       
36              252.414000      71.154483       181.492000      0.011115        0.392053       
37              252.414000      73.809878       183.345327      0.010520        0.402573       
38              252.414000      76.623285       185.206105      0.011146        0.413719       
39              253.363000      79.286383       186.894805      0.010511        0.424230       
40              253.363000      82.109354       188.595853      0.011142        0.435372       
41              253.837000      84.749005       190.117807      0.010399        0.445771       
42              253.837000      87.540704       191.652026      0.010998        0.456769       
43              253.837000      90.189239       193.040797      0.010434        0.467203       
44              256.208000      93.010346       194.495238      0.011011        0.478214       
45              256.208000      96.207309       196.064556      0.012478        0.490692       
46              255.734000      98.863618       197.301460      0.010387        0.501079       
47              255.734000      101.674902      198.555871      0.010993        0.512072       
48              254.311000      104.325077      199.667894      0.010421        0.522493       
49              254.311000      107.190145      200.821241      0.011266        0.533759       
50              256.682000      109.897113      201.903552      0.010546        0.544305       
51              256.682000      112.752957      203.000835      0.011126        0.555431       
52              258.279000      115.467469      204.027397      0.010510        0.565941       
53              258.279000      118.333850      205.070800      0.011098        0.577039       
54              258.105000      121.036209      206.015923      0.010470        0.587509       
55              257.631000      123.884320      206.969212      0.011055        0.598564       
56              259.703000      129.018648      208.655270      0.019770        0.618334       
57              259.703000      133.765240      210.120842      0.018277        0.636611       
58              260.178000      136.482539      210.928806      0.010444        0.647055       
59              260.178000      139.351261      211.753965      0.011026        0.658081       
60              259.703000      142.051653      212.499799      0.010398        0.668479       
61              259.703000      144.907867      213.263829      0.010998        0.679477       
62              258.279000      147.590352      213.941540      0.010386        0.689863       
63              260.652000      150.456482      214.674395      0.010996        0.700859       
64              260.652000      153.392727      215.401709      0.011265        0.712124       
65              259.228000      156.093364      216.033620      0.010418        0.722542       
66              259.228000      158.972091      216.687441      0.011105        0.733647       
67              259.528000      161.703623      217.293345      0.010525        0.744172       
68              259.528000      164.557652      217.908379      0.010997        0.755169       
69              258.279000      167.241429      218.456332      0.010391        0.765560       
70              258.279000      170.084306      219.020775      0.011007        0.776567       
71              258.405000      172.769910      219.540904      0.010393        0.786960       
72              258.405000      175.610814      220.076363      0.010994        0.797954       
73              259.353000      178.309641      220.581970      0.010406        0.808360       
74              259.353000      181.164081      221.102756      0.011006        0.819366       
75              259.054000      183.857724      221.578333      0.010398        0.829764       
76              258.279000      186.741151      222.065564      0.011164        0.840928       
77              258.279000      189.784194      222.565930      0.011782        0.852710       
78              258.105000      192.498942      222.998956      0.010518        0.863228       
79              258.105000      195.377329      223.446704      0.011152        0.874380       
80              258.879000      198.097630      223.867461      0.010508        0.884888       
81              258.879000      200.974552      224.301705      0.011113        0.896001       
82              258.105000      203.678460      224.692364      0.010476        0.906477       
83              258.105000      206.516067      225.092746      0.010994        0.917471       
