#timestep       power           acc-energy      avg-power       dt              acc-time       
1               54.694000       0.553831        54.694000       0.010126        0.010126       
2               54.694000       1.164490        54.694000       0.011165        0.021291       
3               49.873000       1.685563        53.107000       0.010448        0.031739       
4               49.873000       2.235263        52.273410       0.011022        0.042761       
5               48.470000       2.739642        51.528995       0.010406        0.053167       
6               48.470000       3.273345        51.004164       0.011011        0.064178       
7               48.503000       3.778019        50.655229       0.010405        0.074583       
8               48.503000       4.312716        50.378077       0.011024        0.085607       
9               48.470000       4.821021        50.169843       0.010487        0.096094       
10              48.470000       5.360153        49.993497       0.011123        0.107217       
11              170.584000      7.153673        60.762865       0.010514        0.117731       
12              193.786000      9.311674        72.258017       0.011136        0.128867       
13              193.786000      11.616177       82.525287       0.011892        0.140759       
14              209.348000      13.815796       91.334446       0.010507        0.151266       
15              209.348000      16.142909       99.413166       0.011116        0.162382       
16              211.725000      18.361998       106.222838      0.010481        0.172863       
17              211.725000      20.691185       112.535272      0.011001        0.183864       
18              213.152000      22.905621       117.916435      0.010389        0.194253       
19              213.152000      25.251572       123.022972      0.011006        0.205259       
20              214.103000      27.477601       127.414035      0.010397        0.215656       
21              214.103000      29.840870       131.635024      0.011038        0.226694       
22              214.764000      32.096322       135.315611      0.010502        0.237196       
23              214.764000      34.478699       138.865188      0.011093        0.248289       
24              237.559000      36.948124       142.831116      0.010395        0.258684       
25              238.508000      39.580776       146.746560      0.011038        0.269722       
26              238.508000      42.271384       150.430367      0.011281        0.281003       
27              241.358000      44.791403       153.687855      0.010441        0.291444       
28              241.358000      47.449962       156.880641      0.011015        0.302459       
29              242.782000      49.981450       159.743324      0.010427        0.312886       
30              242.782000      52.682399       162.594478      0.011125        0.324011       
31              240.721000      55.212859       165.049514      0.010512        0.334523       
32              240.721000      57.881251       167.476594      0.011085        0.345608       
33              244.992000      60.430148       169.741884      0.010404        0.356012       
34              244.992000      63.125550       171.997661      0.011002        0.367014       
35              246.415000      65.686787       174.047151      0.010394        0.377408       
36              246.415000      68.403512       176.101187      0.011025        0.388433       
37              246.415000      70.992102       177.952720      0.010505        0.398938       
38              246.890000      73.738013       179.822496      0.011122        0.410060       
39              246.890000      76.558978       181.640619      0.011426        0.421486       
40              244.826000      79.132099       183.177851      0.010510        0.431996       
41              244.826000      81.850647       184.722742      0.011104        0.443100       
42              246.415000      84.435047       186.149209      0.010488        0.453588       
43              246.415000      87.160151       187.583587      0.011059        0.464647       
44              246.890000      89.728301       188.882201      0.010402        0.475049       
45              246.890000      92.449028       190.197335      0.011020        0.486069       
46              247.056000      95.077210       191.415080      0.010638        0.496707       
47              246.581000      98.459562       192.897595      0.013717        0.510424       
48              244.207000      104.308319      195.197220      0.023950        0.534374       
49              244.207000      106.992399      196.184938      0.010991        0.545365       
50              242.308000      109.519186      197.050316      0.010428        0.555793       
51              242.308000      112.214621      197.938359      0.011124        0.566917       
52              242.619000      114.767458      198.752522      0.010522        0.577439       
53              242.619000      117.466109      199.581537      0.011123        0.588562       
54              242.144000      120.004504      200.326360      0.010483        0.599045       
55              242.144000      122.682617      201.084431      0.011060        0.610105       
56              242.619000      125.203671      201.779981      0.010391        0.620496       
57              243.568000      127.882676      202.507820      0.010999        0.631495       
58              243.568000      130.697591      203.245758      0.011557        0.643052       
59              243.568000      133.257491      203.894184      0.010510        0.653562       
60              243.568000      135.961826      204.556921      0.011103        0.664665       
61              246.249000      138.534389      205.202084      0.010447        0.675112       
62              246.249000      141.244606      205.860517      0.011006        0.686118       
63              247.198000      143.813240      206.477217      0.010391        0.696509       
64              247.198000      146.543542      207.112874      0.011045        0.707554       
65              246.415000      149.108969      207.682782      0.010411        0.717965       
66              246.415000      151.846639      208.273003      0.011110        0.729075       
67              247.364000      154.446930      208.828616      0.010512        0.739587       
68              247.364000      157.194154      209.398721      0.011106        0.750693       
69              247.839000      159.771680      209.923991      0.010400        0.761093       
70              246.415000      162.487913      210.444949      0.011023        0.772116       
71              246.415000      165.285216      210.966135      0.011352        0.783468       
72              247.364000      167.875117      211.446129      0.010470        0.793938       
73              247.364000      170.596121      211.936970      0.011000        0.804938       
74              248.006000      173.174391      212.396872      0.010396        0.815334       
75              248.006000      175.904193      212.871191      0.011007        0.826341       
76              248.006000      178.490648      213.309090      0.010429        0.836770       
77              248.006000      181.254675      213.765147      0.011145        0.847915       
78              246.415000      183.845482      214.165041      0.010514        0.858429       
79              246.415000      186.583399      214.577131      0.011111        0.869540       
80              247.364000      189.154253      214.964381      0.010393        0.879933       
81              247.364000      191.876246      215.364550      0.011004        0.890937       
82              247.364000      194.446358      215.733422      0.010390        0.901327       
83              248.314000      197.196436      216.128895      0.011075        0.912402       
84              248.314000      200.034665      216.527101      0.011430        0.923832       
85              247.056000      202.631223      216.870507      0.010510        0.934342       
86              247.056000      205.382439      217.226037      0.011136        0.945478       
87              247.839000      207.975579      217.561103      0.010463        0.955941       
88              247.839000      210.703790      217.905795      0.011008        0.966949       
89              246.723000      213.280072      218.213665      0.010442        0.977391       
90              246.723000      216.023878      218.534402      0.011121        0.988512       
91              247.364000      218.621200      218.837412      0.010500        0.999012       
92              247.364000      221.369167      219.151138      0.011109        1.010121       
93              247.839000      223.961315      219.445134      0.010459        1.020580       
94              247.839000      226.702910      219.749593      0.011062        1.031642       
95              247.839000      229.759261      220.081401      0.012332        1.043974       
96              247.364000      232.351635      220.352557      0.010480        1.054454       
97              247.364000      235.073876      220.631555      0.011005        1.065459       
98              247.672000      237.649665      220.892947      0.010400        1.075859       
99              247.672000      240.377277      221.164292      0.011013        1.086872       
100             247.839000      242.953315      221.416972      0.010394        1.097266       
101             247.839000      245.679049      221.679174      0.010998        1.108264       
102             247.531000      248.257579      221.919903      0.010417        1.118681       
103             247.531000      251.007896      222.171777      0.011111        1.129792       
104             247.364000      253.606207      222.403839      0.010504        1.140296       
105             247.364000      256.355906      222.644810      0.011116        1.151412       
106             246.415000      258.946713      222.859901      0.010514        1.161926       
107             247.531000      261.698515      223.093710      0.011117        1.173043       
108             247.531000      264.486952      223.326155      0.011265        1.184308       
109             246.890000      267.080038      223.533293      0.010503        1.194811       
110             246.890000      269.814838      223.747842      0.011077        1.205888       
111             248.006000      272.447918      223.959554      0.010617        1.216505       
112             248.006000      275.182680      224.175565      0.011027        1.227532       
113             246.415000      277.768312      224.364058      0.010493        1.238025       
114             246.415000      280.509926      224.560462      0.011126        1.249151       
115             247.056000      283.105496      224.748083      0.010506        1.259657       
116             247.056000      285.846582      224.942855      0.011095        1.270752       
117             247.364000      288.418921      225.124845      0.010399        1.281151       
118             247.839000      291.149363      225.318506      0.011017        1.292168       
119             247.839000      294.206705      225.531470      0.012336        1.304504       
120             248.314000      296.787184      225.711527      0.010392        1.314896       
121             248.314000      299.520128      225.899145      0.011006        1.325902       
122             247.364000      302.097166      226.066486      0.010418        1.336320       
123             247.364000      304.839938      226.241746      0.011088        1.347408       
124             248.006000      307.418952      226.408431      0.010399        1.357807       
125             248.006000      310.151979      226.582306      0.011020        1.368827       
126             247.839000      312.726530      226.742408      0.010388        1.379215       
127             247.839000      315.452511      226.909318      0.010999        1.390214       
128             247.839000      318.032763      227.064891      0.010411        1.400625       
129             247.839000      320.795177      227.228904      0.011146        1.411771       
130             248.314000      323.404957      227.384713      0.010510        1.422281       
131             247.839000      326.159935      227.543336      0.011116        1.433397       
132             247.839000      329.003144      227.704480      0.011472        1.444869       
133             248.314000      331.587596      227.851877      0.010408        1.455277       
134             248.314000      334.325258      228.005730      0.011025        1.466302       
135             247.672000      336.922347      228.145371      0.010486        1.476788       
136             247.672000      339.671506      228.291045      0.011100        1.487888       
137             247.839000      342.276789      228.428183      0.010512        1.498400       
138             247.839000      345.029537      228.571008      0.011107        1.509507       
139             248.314000      347.626902      228.706874      0.010460        1.519967       
140             248.314000      350.371020      228.848400      0.011051        1.531018       
141             248.314000      352.951747      228.979647      0.010393        1.541411       
142             248.314000      355.681711      229.116571      0.010994        1.552405       
143             248.314000      358.264425      229.244337      0.010401        1.562806       
144             247.056000      360.990194      229.369201      0.011033        1.573839       
145             247.056000      363.849373      229.498309      0.011573        1.585412       
146             248.006000      366.458148      229.620296      0.010519        1.595931       
147             248.006000      369.217215      229.747572      0.011125        1.607056       
148             246.890000      371.812029      229.858954      0.010510        1.617566       
149             246.890000      374.630278      229.978298      0.011415        1.628981       
150             247.364000      377.226858      230.089613      0.010497        1.639478       
151             247.364000      379.970125      230.205678      0.011090        1.650568       
152             247.839000      382.550872      230.316224      0.010413        1.660981       
