#timestep       power           acc-energy      avg-power       dt              acc-time       
1               59.822000       0.603843        59.822000       0.010094        0.010094       
2               59.822000       1.269303        59.822000       0.011124        0.021218       
3               59.822000       1.918551        59.822000       0.010853        0.032071       
4               59.822000       2.565347        59.822000       0.010812        0.042883       
5               59.822000       3.214595        59.822000       0.010853        0.053736       
6               62.071000       3.891728        60.201524       0.010909        0.064645       
7               62.071000       4.748183        60.530362       0.013798        0.078443       
8               62.071000       5.500484        60.736545       0.012120        0.090563       
9               62.071000       6.171099        60.878775       0.010804        0.101367       
10              62.071000       6.844135        60.993981       0.010843        0.112210       
11              62.071000       7.514626        61.088557       0.010802        0.123012       
12              62.071000       8.194986        61.168936       0.010961        0.133973       
13              62.071000       8.865353        61.236229       0.010800        0.144773       
14              164.015000      10.657709       68.449840       0.010928        0.155701       
15              164.015000      12.429071       74.648624       0.010800        0.166501       
16              164.015000      14.207157       80.111633       0.010841        0.177342       
17              164.015000      15.985408       84.945627       0.010842        0.188184       
18              164.015000      17.764314       89.254456       0.010846        0.199030       
19              164.015000      19.800725       93.644357       0.012416        0.211446       
20              164.015000      21.572743       97.065209       0.010804        0.222250       
21              164.015000      23.349681       100.177109      0.010834        0.233084       
22              164.015000      25.119895       103.002313      0.010793        0.243877       
23              164.015000      26.913563       105.620840      0.010936        0.254813       
24              239.957000      29.529814       111.132993      0.010903        0.265716       
25              239.957000      32.329393       116.551457      0.011667        0.277383       
26              239.957000      34.929807       121.191474      0.010837        0.288220       
27              239.957000      37.529981       125.494826      0.010836        0.299056       
28              239.957000      40.493690       130.034616      0.012351        0.311407       
29              239.957000      43.085225       133.719085      0.010800        0.322207       
30              239.957000      45.684919       137.175061      0.010834        0.333041       
31              239.957000      48.275255       140.401980      0.010795        0.343836       
32              239.957000      50.873990       143.441969      0.010830        0.354666       
33              240.914000      53.475379       146.321878      0.010798        0.365464       
34              240.914000      56.436453       149.399618      0.012291        0.377755       
35              240.914000      59.046997       151.951530      0.010836        0.388591       
36              240.914000      61.657059       154.364547      0.010834        0.399425       
37              240.914000      64.677398       156.998456      0.012537        0.411962       
38              240.914000      67.279028       159.141994      0.010799        0.422761       
39              240.914000      69.888127       161.184450      0.010830        0.433591       
40              240.914000      72.488553       163.121061      0.010794        0.444385       
41              240.914000      75.099338       164.972997      0.010837        0.455222       
42              241.060000      77.980969       166.919895      0.011954        0.467176       
43              241.060000      86.131931       171.923796      0.033813        0.500989       
44              241.060000      91.279767       174.750293      0.021355        0.522344       
45              241.060000      95.892209       177.093454      0.019134        0.541478       
46              241.060000      98.491077       178.342185      0.010781        0.552259       
47              240.866000      101.091225      179.540906      0.010795        0.563054       
48              240.866000      103.921160      180.794394      0.011749        0.574803       
49              240.866000      106.517455      181.900152      0.010779        0.585582       
50              240.866000      109.613546      183.166698      0.012854        0.598436       
51              240.866000      112.211527      184.188238      0.010786        0.609222       
52              240.866000      114.828777      185.181421      0.010866        0.620088       
53              240.866000      117.428684      186.134149      0.010794        0.630882       
54              240.866000      120.043526      187.060024      0.010856        0.641738       
55              240.866000      122.653791      187.953554      0.010837        0.652575       
